date,open,high,low,close,volume,average,barCount
2026-04-15 04:00:00-04:00,18.15,18.5,17.48,18.32,12993.0,17.97,59
2026-04-15 04:01:00-04:00,18.32,18.32,17.7,17.7,1347.0,18.076,9
2026-04-15 04:02:00-04:00,17.86,17.93,17.86,17.93,713.0,17.892,3
2026-04-15 04:03:00-04:00,17.8,17.8,17.62,17.62,200.0,17.71,2
2026-04-15 04:04:00-04:00,17.49,17.49,17.49,17.49,473.0,17.49,2
2026-04-15 04:05:00-04:00,17.17,17.36,17.17,17.18,820.0,17.238,3
2026-04-15 04:06:00-04:00,17.18,17.18,17.18,17.18,0.0,17.18,0
2026-04-15 04:07:00-04:00,17.34,17.34,17.24,17.24,303.0,17.297,2
2026-04-15 04:08:00-04:00,17.48,17.49,17.4,17.4,993.0,17.437,5
2026-04-15 04:09:00-04:00,17.25,17.25,17.2,17.2,445.0,17.239,2
2026-04-15 04:10:00-04:00,17.01,17.01,17.0,17.0,823.0,17.001,5
2026-04-15 04:11:00-04:00,17.0,17.0,17.0,17.0,494.0,17.0,3
2026-04-15 04:12:00-04:00,17.0,17.0,17.0,17.0,0.0,17.0,0
2026-04-15 04:13:00-04:00,16.89,16.89,16.88,16.89,331.0,16.89,1
2026-04-15 04:14:00-04:00,16.61,16.65,16.6,16.6,543.0,16.616,3
2026-04-15 04:15:00-04:00,16.74,16.74,16.74,16.74,245.0,16.74,1
2026-04-15 04:16:00-04:00,16.58,16.7,16.5,16.7,3173.0,16.62,15
2026-04-15 04:17:00-04:00,16.7,16.7,16.58,16.58,521.0,16.654,4
2026-04-15 04:18:00-04:00,16.68,16.7,16.58,16.58,796.0,16.681,5
2026-04-15 04:19:00-04:00,16.46,16.46,16.4,16.4,254.0,16.424,2
2026-04-15 04:20:00-04:00,16.7,16.7,16.7,16.7,500.0,16.7,3
2026-04-15 04:21:00-04:00,16.7,16.7,16.7,16.7,0.0,16.7,0
2026-04-15 04:22:00-04:00,16.7,16.7,16.7,16.7,0.0,16.7,0
2026-04-15 04:23:00-04:00,16.68,16.89,16.68,16.8,1135.0,16.724,9
2026-04-15 04:24:00-04:00,16.84,16.85,16.71,16.71,853.0,16.759,4
2026-04-15 04:25:00-04:00,16.71,16.71,16.71,16.71,0.0,16.71,0
2026-04-15 04:26:00-04:00,16.82,17.23,16.73,17.23,1015.0,16.873,8
2026-04-15 04:27:00-04:00,17.15,17.38,17.15,17.37,504.0,17.251,5
2026-04-15 04:28:00-04:00,17.08,17.18,17.08,17.18,598.0,17.163,3
2026-04-15 04:29:00-04:00,17.1,17.1,17.1,17.1,224.0,17.1,2
2026-04-15 04:30:00-04:00,17.1,17.1,17.1,17.1,0.0,17.1,0
2026-04-15 04:31:00-04:00,16.8,16.8,16.8,16.8,127.0,16.8,1
2026-04-15 04:32:00-04:00,17.0,17.0,17.0,17.0,225.0,17.0,2
2026-04-15 04:33:00-04:00,17.18,17.18,17.0,17.01,261.0,17.075,2
2026-04-15 04:34:00-04:00,17.02,17.02,17.02,17.02,200.0,17.02,2
2026-04-15 04:35:00-04:00,17.22,17.22,17.21,17.22,100.0,17.218,1
2026-04-15 04:36:00-04:00,17.23,17.37,17.23,17.37,397.0,17.274,3
2026-04-15 04:37:00-04:00,17.43,17.43,17.43,17.43,216.0,17.43,1
2026-04-15 04:38:00-04:00,17.37,17.45,17.37,17.43,1973.0,17.405,9
2026-04-15 04:39:00-04:00,17.43,17.48,17.4,17.4,1487.0,17.449,7
2026-04-15 04:40:00-04:00,17.32,17.32,17.32,17.32,150.0,17.32,1
2026-04-15 04:41:00-04:00,17.0,17.0,17.0,17.0,400.0,17.0,1
2026-04-15 04:42:00-04:00,17.0,17.0,17.0,17.0,268.0,17.0,2
2026-04-15 04:43:00-04:00,17.0,17.0,17.0,17.0,0.0,17.0,0
2026-04-15 04:44:00-04:00,17.18,17.18,17.18,17.18,100.0,17.18,1
2026-04-15 04:45:00-04:00,17.18,17.18,17.18,17.18,0.0,17.18,0
2026-04-15 04:46:00-04:00,17.21,17.35,17.21,17.26,643.0,17.279,4
2026-04-15 04:47:00-04:00,17.36,17.37,17.36,17.37,250.0,17.366,2
2026-04-15 04:48:00-04:00,17.37,17.37,17.37,17.37,0.0,17.37,0
2026-04-15 04:49:00-04:00,17.37,17.37,17.37,17.37,0.0,17.37,0
2026-04-15 04:50:00-04:00,17.37,17.37,17.37,17.37,0.0,17.37,0
2026-04-15 04:51:00-04:00,17.37,17.37,17.37,17.37,0.0,17.37,0
2026-04-15 04:52:00-04:00,17.45,17.45,17.45,17.45,122.0,17.45,1
2026-04-15 04:53:00-04:00,17.45,17.45,17.41,17.41,464.0,17.442,2
2026-04-15 04:54:00-04:00,17.44,17.49,17.44,17.45,907.0,17.458,6
2026-04-15 04:55:00-04:00,17.45,17.45,17.45,17.45,0.0,17.45,0
2026-04-15 04:56:00-04:00,17.45,17.45,17.45,17.45,0.0,17.45,0
2026-04-15 04:57:00-04:00,17.54,17.54,17.53,17.54,484.0,17.537,2
2026-04-15 04:58:00-04:00,17.54,17.54,17.54,17.54,200.0,17.54,1
2026-04-15 04:59:00-04:00,17.54,17.54,17.54,17.54,0.0,17.54,0
2026-04-15 05:00:00-04:00,17.24,17.25,17.24,17.24,373.0,17.243,1
2026-04-15 05:01:00-04:00,17.24,17.24,17.24,17.24,0.0,17.24,0
2026-04-15 05:02:00-04:00,17.24,17.24,17.24,17.24,0.0,17.24,0
2026-04-15 05:03:00-04:00,17.24,17.24,17.24,17.24,0.0,17.24,0
2026-04-15 05:04:00-04:00,17.24,17.24,17.24,17.24,0.0,17.24,0
2026-04-15 05:05:00-04:00,17.44,17.56,17.44,17.56,470.0,17.525,2
2026-04-15 05:06:00-04:00,17.55,17.56,17.55,17.55,393.0,17.552,2
2026-04-15 05:07:00-04:00,17.55,17.55,17.55,17.55,0.0,17.55,0
2026-04-15 05:08:00-04:00,17.55,17.55,17.55,17.55,0.0,17.55,0
2026-04-15 05:09:00-04:00,17.55,17.55,17.55,17.55,0.0,17.55,0
2026-04-15 05:10:00-04:00,17.55,17.55,17.55,17.55,0.0,17.55,0
2026-04-15 05:11:00-04:00,17.26,17.27,17.26,17.26,341.0,17.263,1
2026-04-15 05:12:00-04:00,17.45,17.45,17.45,17.45,505.0,17.45,1
2026-04-15 05:13:00-04:00,17.45,17.45,17.45,17.45,0.0,17.45,0
2026-04-15 05:14:00-04:00,17.45,17.45,17.45,17.45,0.0,17.45,0
2026-04-15 05:15:00-04:00,17.45,17.45,17.45,17.45,0.0,17.45,0
2026-04-15 05:16:00-04:00,17.49,17.59,17.49,17.58,1873.0,17.546,12
2026-04-15 05:17:00-04:00,17.58,17.58,17.58,17.58,0.0,17.58,0
2026-04-15 05:18:00-04:00,17.55,17.55,17.55,17.55,100.0,17.55,1
2026-04-15 05:19:00-04:00,17.65,17.66,17.65,17.66,700.0,17.651,4
2026-04-15 05:20:00-04:00,17.81,17.81,17.8,17.8,355.0,17.806,2
2026-04-15 05:21:00-04:00,17.8,17.8,17.8,17.8,0.0,17.8,0
2026-04-15 05:22:00-04:00,17.8,17.9,17.78,17.8,3709.0,17.808,8
2026-04-15 05:23:00-04:00,17.6,17.8,17.59,17.6,815.0,17.628,4
2026-04-15 05:24:00-04:00,17.79,17.79,17.79,17.79,119.0,17.79,1
2026-04-15 05:25:00-04:00,17.77,17.77,17.77,17.77,905.0,17.77,4
2026-04-15 05:26:00-04:00,17.77,17.77,17.77,17.77,0.0,17.77,0
2026-04-15 05:27:00-04:00,17.6,17.6,17.6,17.6,200.0,17.6,1
2026-04-15 05:28:00-04:00,17.6,17.6,17.6,17.6,104.0,17.6,1
2026-04-15 05:29:00-04:00,17.6,17.6,17.6,17.6,0.0,17.6,0
2026-04-15 05:30:00-04:00,17.6,17.6,17.6,17.6,0.0,17.6,0
2026-04-15 05:31:00-04:00,17.66,17.69,17.66,17.69,484.0,17.672,3
2026-04-15 05:32:00-04:00,17.8,17.87,17.77,17.87,1082.0,17.824,5
2026-04-15 05:33:00-04:00,17.79,17.8,17.79,17.8,451.0,17.793,3
2026-04-15 05:34:00-04:00,17.85,18.23,17.85,18.23,1291.0,17.972,11
2026-04-15 05:35:00-04:00,18.12,18.23,17.85,17.85,1836.0,18.093,8
2026-04-15 05:36:00-04:00,17.94,17.94,17.94,17.94,1817.0,17.94,1
2026-04-15 05:37:00-04:00,17.98,17.99,17.9,17.9,1152.0,17.98,8
2026-04-15 05:38:00-04:00,17.9,17.9,17.9,17.9,0.0,17.9,0
2026-04-15 05:39:00-04:00,18.05,18.1,18.05,18.1,857.0,18.068,3
2026-04-15 05:40:00-04:00,18.05,18.11,18.05,18.11,337.0,18.074,2
2026-04-15 05:41:00-04:00,17.97,17.98,17.97,17.97,337.0,17.974,1
2026-04-15 05:42:00-04:00,18.18,18.18,18.18,18.18,105.0,18.18,1
2026-04-15 05:43:00-04:00,18.0,18.0,18.0,18.0,182.0,18.0,1
2026-04-15 05:44:00-04:00,17.83,17.9,17.83,17.9,300.0,17.877,2
2026-04-15 05:45:00-04:00,17.81,18.0,17.81,17.98,7549.0,17.964,9
