date,open,high,low,close,volume,average,barCount
2026-04-16 09:30:00-04:00,44.42,44.42,44.42,44.42,484.0,44.42,1
2026-04-16 09:31:00-04:00,44.42,44.42,44.42,44.42,0.0,44.42,0
2026-04-16 09:32:00-04:00,44.24,44.24,44.23,44.24,226.0,44.235,1
2026-04-16 09:33:00-04:00,44.06,44.17,44.06,44.15,463.0,44.104,3
2026-04-16 09:34:00-04:00,44.2,44.2,44.19,44.19,202.0,44.195,2
2026-04-16 09:35:00-04:00,44.32,44.32,44.32,44.32,290.0,44.32,1
2026-04-16 09:36:00-04:00,44.18,44.18,44.18,44.18,100.0,44.18,1
2026-04-16 09:37:00-04:00,44.13,44.13,44.12,44.12,209.0,44.125,2
2026-04-16 09:38:00-04:00,44.24,44.26,44.24,44.26,2100.0,44.241,2
2026-04-16 09:39:00-04:00,44.24,44.24,44.24,44.24,100.0,44.24,1
2026-04-16 09:40:00-04:00,44.25,44.25,44.25,44.25,100.0,44.25,1
2026-04-16 09:41:00-04:00,44.33,44.33,44.33,44.33,198.0,44.33,1
2026-04-16 09:42:00-04:00,44.25,44.25,44.25,44.25,100.0,44.25,1
2026-04-16 09:43:00-04:00,44.26,44.26,44.24,44.24,200.0,44.25,2
2026-04-16 09:44:00-04:00,44.28,44.28,44.28,44.28,100.0,44.28,1
2026-04-16 09:45:00-04:00,44.35,44.35,44.35,44.35,100.0,44.35,1
2026-04-16 09:46:00-04:00,44.35,44.35,44.35,44.35,100.0,44.35,1
2026-04-16 09:47:00-04:00,44.35,44.35,44.35,44.35,100.0,44.35,1
2026-04-16 09:48:00-04:00,44.35,44.35,44.35,44.35,100.0,44.35,1
2026-04-16 09:49:00-04:00,44.35,44.35,44.35,44.35,100.0,44.35,1
2026-04-16 09:50:00-04:00,44.33,44.35,44.33,44.35,734.0,44.333,2
2026-04-16 09:51:00-04:00,44.43,44.43,44.42,44.43,156.0,44.425,1
2026-04-16 09:52:00-04:00,44.35,44.35,44.35,44.35,257.0,44.35,1
2026-04-16 09:53:00-04:00,44.28,44.28,44.28,44.28,132.0,44.28,1
2026-04-16 09:54:00-04:00,44.28,44.28,44.28,44.28,0.0,44.28,0
2026-04-16 09:55:00-04:00,44.28,44.28,44.28,44.28,348.0,44.28,1
2026-04-16 09:56:00-04:00,44.28,44.28,44.28,44.28,287.0,44.28,2
2026-04-16 09:57:00-04:00,44.06,44.06,44.06,44.06,225.0,44.06,1
2026-04-16 09:58:00-04:00,44.06,44.06,44.06,44.06,0.0,44.06,0
2026-04-16 09:59:00-04:00,44.06,44.06,44.06,44.06,0.0,44.06,0
2026-04-16 10:00:00-04:00,44.28,44.28,44.28,44.28,1812.0,44.28,2
2026-04-16 10:01:00-04:00,44.28,44.28,44.28,44.28,0.0,44.28,0
