date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00-04:00,42.08,42.29,41.88,41.97,23758.0,42.081,120
2026-04-16 04:01:00-04:00,42.02,42.29,41.93,42.25,4705.0,42.138,23
2026-04-16 04:02:00-04:00,42.03,42.03,42.03,42.03,100.0,42.03,1
2026-04-16 04:03:00-04:00,42.03,42.03,42.03,42.03,0.0,42.03,0
2026-04-16 04:04:00-04:00,42.12,42.12,42.06,42.06,600.0,42.11,2
2026-04-16 04:05:00-04:00,42.06,42.11,42.0,42.11,1395.0,42.046,11
2026-04-16 04:06:00-04:00,42.15,42.15,42.09,42.09,344.0,42.113,2
2026-04-16 04:07:00-04:00,42.16,42.17,42.13,42.13,2126.0,42.16,13
2026-04-16 04:08:00-04:00,42.13,42.17,42.12,42.15,658.0,42.135,6
2026-04-16 04:09:00-04:00,42.15,42.15,42.15,42.15,0.0,42.15,0
2026-04-16 04:10:00-04:00,42.15,42.15,42.15,42.15,0.0,42.15,0
2026-04-16 04:11:00-04:00,42.11,42.13,42.11,42.13,400.0,42.125,4
2026-04-16 04:12:00-04:00,42.09,42.12,42.09,42.12,305.0,42.1,3
2026-04-16 04:13:00-04:00,42.13,42.13,42.07,42.07,829.0,42.098,7
2026-04-16 04:14:00-04:00,42.04,42.04,42.04,42.04,100.0,42.04,1
2026-04-16 04:15:00-04:00,42.05,42.11,42.05,42.11,350.0,42.082,3
2026-04-16 04:16:00-04:00,42.09,42.15,42.09,42.14,1334.0,42.127,6
2026-04-16 04:17:00-04:00,42.11,42.11,42.08,42.09,1238.0,42.101,6
2026-04-16 04:18:00-04:00,42.09,42.09,42.02,42.02,805.0,42.07,6
2026-04-16 04:19:00-04:00,42.04,42.04,42.02,42.02,1431.0,42.023,8
2026-04-16 04:20:00-04:00,42.0,42.0,41.98,41.98,385.0,41.988,3
2026-04-16 04:21:00-04:00,42.01,42.03,42.01,42.03,876.0,42.028,2
2026-04-16 04:22:00-04:00,42.03,42.05,42.03,42.05,646.0,42.045,2
2026-04-16 04:23:00-04:00,42.03,42.07,42.0,42.0,1369.0,42.033,8
2026-04-16 04:24:00-04:00,42.01,42.02,42.01,42.02,12557.0,42.02,13
2026-04-16 04:25:00-04:00,42.0,42.08,42.0,42.08,2149.0,42.069,3
2026-04-16 04:26:00-04:00,41.98,42.01,41.98,42.01,555.0,42.0,4
2026-04-16 04:27:00-04:00,42.02,42.04,42.02,42.04,403.0,42.029,2
2026-04-16 04:28:00-04:00,42.03,42.05,41.98,41.98,1258.0,42.01,9
2026-04-16 04:29:00-04:00,41.96,41.96,41.96,41.96,170.0,41.96,1
2026-04-16 04:30:00-04:00,41.96,41.96,41.96,41.96,0.0,41.96,0
2026-04-16 04:31:00-04:00,41.96,41.96,41.95,41.95,1501.0,41.951,8
2026-04-16 04:32:00-04:00,41.97,41.97,41.97,41.97,150.0,41.97,1
2026-04-16 04:33:00-04:00,41.95,41.95,41.92,41.92,1444.0,41.926,7
