date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00-04:00,30.75,30.83,30.73,30.75,6135.0,30.768,23
2026-04-16 04:01:00-04:00,30.74,30.83,30.74,30.82,1686.0,30.786,8
2026-04-16 04:02:00-04:00,30.74,30.74,30.69,30.7,3425.0,30.721,7
2026-04-16 04:03:00-04:00,30.7,30.7,30.69,30.69,418.0,30.696,2
2026-04-16 04:04:00-04:00,30.69,30.69,30.69,30.69,0.0,30.69,0
2026-04-16 04:05:00-04:00,30.69,30.69,30.69,30.69,621.0,30.69,3
2026-04-16 04:06:00-04:00,30.68,30.68,30.68,30.68,400.0,30.68,2
2026-04-16 04:07:00-04:00,30.68,30.68,30.68,30.68,0.0,30.68,0
2026-04-16 04:08:00-04:00,30.68,30.68,30.68,30.68,0.0,30.68,0
2026-04-16 04:09:00-04:00,30.68,30.68,30.68,30.68,0.0,30.68,0
2026-04-16 04:10:00-04:00,30.68,30.68,30.68,30.68,0.0,30.68,0
2026-04-16 04:11:00-04:00,30.68,30.68,30.68,30.68,0.0,30.68,0
2026-04-16 04:12:00-04:00,30.68,30.68,30.68,30.68,0.0,30.68,0
2026-04-16 04:13:00-04:00,30.63,30.67,30.63,30.67,600.0,30.637,2
2026-04-16 04:14:00-04:00,30.63,30.63,30.63,30.63,205.0,30.63,1
2026-04-16 04:15:00-04:00,30.63,30.63,30.63,30.63,0.0,30.63,0
2026-04-16 04:16:00-04:00,30.63,30.63,30.63,30.63,0.0,30.63,0
2026-04-16 04:17:00-04:00,30.63,30.63,30.63,30.63,0.0,30.63,0
2026-04-16 04:18:00-04:00,30.63,30.63,30.63,30.63,0.0,30.63,0
2026-04-16 04:19:00-04:00,30.63,30.63,30.63,30.63,0.0,30.63,0
2026-04-16 04:20:00-04:00,30.63,30.63,30.63,30.63,0.0,30.63,0
2026-04-16 04:21:00-04:00,30.74,30.74,30.74,30.74,500.0,30.74,1
2026-04-16 04:22:00-04:00,30.74,30.74,30.74,30.74,0.0,30.74,0
2026-04-16 04:23:00-04:00,30.74,30.74,30.74,30.74,0.0,30.74,0
2026-04-16 04:24:00-04:00,30.73,30.73,30.72,30.72,300.0,30.727,2
2026-04-16 04:25:00-04:00,30.72,30.72,30.72,30.72,0.0,30.72,0
2026-04-16 04:26:00-04:00,30.72,30.72,30.72,30.72,0.0,30.72,0
2026-04-16 04:27:00-04:00,30.72,30.72,30.72,30.72,0.0,30.72,0
2026-04-16 04:28:00-04:00,30.72,30.72,30.72,30.72,0.0,30.72,0
2026-04-16 04:29:00-04:00,30.72,30.72,30.72,30.72,0.0,30.72,0
