date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00-04:00,89.37,89.85,89.06,89.31,26146.0,89.403,114
2026-04-16 04:01:00-04:00,89.26,89.96,88.84,89.9,173254.0,89.405,715
2026-04-16 04:02:00-04:00,89.8,89.9,89.64,89.64,6762.0,89.729,38
2026-04-16 04:03:00-04:00,89.79,89.79,89.61,89.66,571.0,89.665,4
2026-04-16 04:04:00-04:00,89.69,89.87,89.66,89.87,3748.0,89.699,14
2026-04-16 04:05:00-04:00,89.84,90.11,89.8,89.85,12306.0,89.936,61
2026-04-16 04:06:00-04:00,89.85,89.9,89.05,89.85,6987.0,89.69,28
2026-04-16 04:07:00-04:00,89.95,89.99,89.66,89.75,11407.0,89.847,33
2026-04-16 04:08:00-04:00,89.7,89.7,89.6,89.62,2701.0,89.653,10
2026-04-16 04:09:00-04:00,89.7,89.71,89.47,89.58,10935.0,89.528,33
2026-04-16 04:10:00-04:00,89.52,89.53,89.49,89.53,1888.0,89.502,9
2026-04-16 04:11:00-04:00,89.5,89.61,89.5,89.61,668.0,89.549,4
2026-04-16 04:12:00-04:00,89.6,89.65,89.51,89.6,2145.0,89.57,5
2026-04-16 04:13:00-04:00,89.62,89.74,89.62,89.74,545.0,89.652,2
2026-04-16 04:14:00-04:00,89.54,89.59,89.5,89.5,964.0,89.534,7
2026-04-16 04:15:00-04:00,89.5,89.73,89.49,89.72,944.0,89.588,6
2026-04-16 04:16:00-04:00,89.58,89.58,89.49,89.49,1079.0,89.499,3
2026-04-16 04:17:00-04:00,89.41,89.49,89.41,89.43,560.0,89.456,3
2026-04-16 04:18:00-04:00,89.42,89.42,89.38,89.38,300.0,89.403,3
2026-04-16 04:19:00-04:00,89.38,89.4,89.3,89.39,1563.0,89.341,10
2026-04-16 04:20:00-04:00,89.4,89.4,89.34,89.34,600.0,89.38,3
2026-04-16 04:21:00-04:00,89.46,89.57,89.37,89.56,1387.0,89.469,9
2026-04-16 04:22:00-04:00,89.5,89.54,89.5,89.5,400.0,89.51,3
2026-04-16 04:23:00-04:00,89.43,89.5,89.4,89.49,1699.0,89.438,12
2026-04-16 04:24:00-04:00,89.4,89.49,89.31,89.31,1430.0,89.389,8
2026-04-16 04:25:00-04:00,89.31,89.44,89.31,89.34,1841.0,89.371,11
2026-04-16 04:26:00-04:00,89.36,89.38,89.35,89.35,3968.0,89.352,10
2026-04-16 04:27:00-04:00,89.3,89.36,89.27,89.36,500.0,89.306,5
2026-04-16 04:28:00-04:00,89.26,89.43,89.2,89.2,2740.0,89.31,11
2026-04-16 04:29:00-04:00,89.55,89.57,89.3,89.3,848.0,89.395,6
2026-04-16 04:30:00-04:00,89.25,89.3,89.24,89.29,1584.0,89.284,6
2026-04-16 04:31:00-04:00,89.29,89.29,89.28,89.29,100.0,89.285,1
2026-04-16 04:32:00-04:00,89.23,89.39,89.17,89.39,564.0,89.243,4
2026-04-16 04:33:00-04:00,89.39,89.39,89.39,89.39,0.0,89.39,0
2026-04-16 04:34:00-04:00,89.19,89.19,89.19,89.19,100.0,89.19,1
2026-04-16 04:35:00-04:00,89.15,89.16,89.14,89.15,2249.0,89.148,17
2026-04-16 04:36:00-04:00,89.18,89.33,89.18,89.26,1386.0,89.207,4
2026-04-16 04:37:00-04:00,89.39,89.39,89.39,89.39,400.0,89.39,3
2026-04-16 04:38:00-04:00,89.4,89.44,89.31,89.4,1910.0,89.395,12
2026-04-16 04:39:00-04:00,89.4,89.53,89.37,89.47,670.0,89.436,6
2026-04-16 04:40:00-04:00,89.49,89.55,89.38,89.55,1210.0,89.491,8
2026-04-16 04:41:00-04:00,89.55,89.61,89.55,89.55,750.0,89.558,3
2026-04-16 04:42:00-04:00,89.5,89.7,89.5,89.59,1309.0,89.6,4
2026-04-16 04:43:00-04:00,89.55,89.55,89.54,89.55,571.0,89.547,3
2026-04-16 04:44:00-04:00,89.69,89.69,89.69,89.69,977.0,89.69,3
2026-04-16 04:45:00-04:00,89.65,89.65,89.46,89.65,2123.0,89.555,13
2026-04-16 04:46:00-04:00,89.58,89.65,89.56,89.56,480.0,89.617,3
2026-04-16 04:47:00-04:00,89.59,89.59,89.59,89.59,438.0,89.59,2
2026-04-16 04:48:00-04:00,89.64,89.79,89.64,89.79,1570.0,89.687,9
2026-04-16 04:49:00-04:00,89.75,89.8,89.68,89.8,3773.0,89.726,15
2026-04-16 04:50:00-04:00,89.85,89.85,89.85,89.85,500.0,89.85,1
2026-04-16 04:51:00-04:00,89.8,89.8,89.75,89.75,500.0,89.77,4
2026-04-16 04:52:00-04:00,89.8,89.8,89.71,89.71,1379.0,89.781,5
2026-04-16 04:53:00-04:00,89.75,89.76,89.75,89.76,791.0,89.751,3
2026-04-16 04:54:00-04:00,89.71,89.71,89.7,89.7,501.0,89.704,5
2026-04-16 04:55:00-04:00,89.76,89.76,89.67,89.75,2690.0,89.738,10
