date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00-04:00,27.99,28.6,26.6,26.6,3688.0,27.765,21
2026-04-16 04:01:00-04:00,26.62,27.86,26.62,27.82,4857.0,27.557,32
2026-04-16 04:02:00-04:00,27.45,27.66,27.43,27.43,1141.0,27.463,6
2026-04-16 04:03:00-04:00,27.02,27.07,27.02,27.04,690.0,27.039,3
2026-04-16 04:04:00-04:00,27.04,27.07,27.03,27.07,335.0,27.053,2
2026-04-16 04:05:00-04:00,27.44,27.44,27.11,27.11,947.0,27.367,8
2026-04-16 04:06:00-04:00,27.07,27.07,27.07,27.07,110.0,27.07,1
2026-04-16 04:07:00-04:00,27.07,27.07,27.07,27.07,0.0,27.07,0
2026-04-16 04:08:00-04:00,27.12,27.12,27.11,27.12,100.0,27.116,1
2026-04-16 04:09:00-04:00,27.13,27.27,27.11,27.27,758.0,27.167,4
2026-04-16 04:10:00-04:00,27.29,27.29,27.28,27.29,120.0,27.285,1
2026-04-16 04:11:00-04:00,27.28,27.41,27.28,27.36,953.0,27.355,4
2026-04-16 04:12:00-04:00,27.54,27.54,27.54,27.54,200.0,27.54,2
2026-04-16 04:13:00-04:00,27.83,27.9,27.52,27.89,1407.0,27.839,7
2026-04-16 04:14:00-04:00,27.63,27.89,27.63,27.89,278.0,27.761,2
2026-04-16 04:15:00-04:00,27.8,27.89,27.8,27.89,798.0,27.853,4
2026-04-16 04:16:00-04:00,27.88,28.15,27.88,28.15,987.0,27.938,7
2026-04-16 04:17:00-04:00,28.3,28.35,28.3,28.35,950.0,28.318,7
2026-04-16 04:18:00-04:00,28.42,28.48,28.3,28.3,3346.0,28.424,12
2026-04-16 04:19:00-04:00,28.36,28.36,27.85,28.31,3097.0,28.155,9
2026-04-16 04:20:00-04:00,28.36,28.36,28.18,28.18,627.0,28.324,2
2026-04-16 04:21:00-04:00,28.28,28.35,28.2,28.35,843.0,28.274,3
2026-04-16 04:22:00-04:00,28.3,28.3,28.24,28.3,444.0,28.285,3
2026-04-16 04:23:00-04:00,28.15,28.15,28.15,28.15,200.0,28.15,1
2026-04-16 04:24:00-04:00,28.3,28.3,28.29,28.29,249.0,28.293,2
2026-04-16 04:25:00-04:00,28.0,28.0,28.0,28.0,673.0,28.0,1
2026-04-16 04:26:00-04:00,28.29,28.48,28.08,28.48,5362.0,28.397,17
2026-04-16 04:27:00-04:00,28.5,28.55,28.5,28.51,680.0,28.516,3
2026-04-16 04:28:00-04:00,28.85,28.93,28.85,28.89,1365.0,28.903,7
2026-04-16 04:29:00-04:00,28.89,28.9,28.89,28.89,684.0,28.892,2
2026-04-16 04:30:00-04:00,28.89,28.9,28.89,28.89,408.0,28.894,1
2026-04-16 04:31:00-04:00,28.8,28.9,28.66,28.8,1128.0,28.791,10
2026-04-16 04:32:00-04:00,28.9,28.9,28.76,28.76,1450.0,28.884,5
2026-04-16 04:33:00-04:00,28.9,28.9,28.69,28.69,217.0,28.794,2
2026-04-16 04:34:00-04:00,28.63,28.63,28.63,28.63,200.0,28.63,1
2026-04-16 04:35:00-04:00,28.76,28.93,28.76,28.93,903.0,28.888,6
2026-04-16 04:36:00-04:00,28.96,28.96,28.93,28.96,657.0,28.948,3
2026-04-16 04:37:00-04:00,28.95,28.97,28.92,28.97,878.0,28.951,4
2026-04-16 04:38:00-04:00,29.0,29.0,28.97,29.0,2774.0,28.998,15
2026-04-16 04:39:00-04:00,28.95,28.95,28.89,28.89,831.0,28.918,4
2026-04-16 04:40:00-04:00,28.82,28.83,28.81,28.83,814.0,28.818,3
2026-04-16 04:41:00-04:00,28.99,29.0,28.97,29.0,524.0,28.99,4
2026-04-16 04:42:00-04:00,29.0,29.0,28.99,29.0,2439.0,28.999,15
2026-04-16 04:43:00-04:00,29.26,29.26,29.09,29.09,1888.0,29.2,11
2026-04-16 04:44:00-04:00,29.2,29.2,29.2,29.2,200.0,29.2,1
2026-04-16 04:45:00-04:00,29.09,29.09,28.71,28.71,1000.0,28.912,4
2026-04-16 04:46:00-04:00,28.71,28.72,28.71,28.71,200.0,28.715,2
2026-04-16 04:47:00-04:00,28.64,28.79,28.64,28.78,997.0,28.716,6
2026-04-16 04:48:00-04:00,28.78,28.78,28.78,28.78,0.0,28.78,0
2026-04-16 04:49:00-04:00,28.63,28.63,28.5,28.5,1391.0,28.599,9
2026-04-16 04:50:00-04:00,28.5,28.5,28.5,28.5,0.0,28.5,0
2026-04-16 04:51:00-04:00,28.47,28.69,28.32,28.32,2788.0,28.616,6
2026-04-16 04:52:00-04:00,28.35,28.35,28.32,28.32,850.0,28.331,4
2026-04-16 04:53:00-04:00,28.37,28.37,28.37,28.37,157.0,28.37,1
2026-04-16 04:54:00-04:00,28.37,28.37,28.37,28.37,0.0,28.37,0
2026-04-16 04:55:00-04:00,28.79,28.8,28.66,28.79,1435.0,28.778,6
2026-04-16 04:56:00-04:00,28.94,28.97,28.94,28.97,447.0,28.954,2
2026-04-16 04:57:00-04:00,29.25,29.26,29.25,29.26,1344.0,29.256,5
2026-04-16 04:58:00-04:00,29.26,29.31,29.09,29.11,2951.0,29.182,15
2026-04-16 04:59:00-04:00,29.37,29.76,29.37,29.49,4887.0,29.466,17
2026-04-16 05:00:00-04:00,29.49,29.49,29.49,29.49,0.0,29.49,0
2026-04-16 05:01:00-04:00,29.26,29.27,29.24,29.26,494.0,29.25,4
2026-04-16 05:02:00-04:00,29.26,29.26,29.26,29.26,144.0,29.26,1
