date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00-04:00,56.5,56.64,56.5,56.64,5312.0,56.544,23
2026-04-16 04:01:00-04:00,56.55,56.62,55.93,56.2,18325.0,56.16,118
2026-04-16 04:02:00-04:00,56.38,56.81,56.31,56.81,7631.0,56.618,30
2026-04-16 04:03:00-04:00,56.81,56.81,56.7,56.8,1529.0,56.736,4
2026-04-16 04:04:00-04:00,56.71,56.71,56.7,56.7,3273.0,56.702,18
2026-04-16 04:05:00-04:00,56.71,56.71,56.53,56.7,3774.0,56.685,9
2026-04-16 04:06:00-04:00,56.27,56.6,56.27,56.6,1163.0,56.546,5
2026-04-16 04:07:00-04:00,56.51,56.6,56.5,56.59,1486.0,56.509,6
2026-04-16 04:08:00-04:00,56.6,56.6,56.56,56.56,900.0,56.596,2
2026-04-16 04:09:00-04:00,56.6,56.6,56.6,56.6,200.0,56.6,1
2026-04-16 04:10:00-04:00,56.58,56.6,56.58,56.6,1004.0,56.596,7
2026-04-16 04:11:00-04:00,56.5,56.56,56.5,56.56,349.0,56.526,2
2026-04-16 04:12:00-04:00,56.56,56.56,56.56,56.56,0.0,56.56,0
2026-04-16 04:13:00-04:00,56.6,56.6,56.56,56.56,375.0,56.587,3
2026-04-16 04:14:00-04:00,56.56,56.56,56.56,56.56,0.0,56.56,0
2026-04-16 04:15:00-04:00,56.58,56.58,56.58,56.58,512.0,56.58,2
2026-04-16 04:16:00-04:00,56.48,56.48,56.43,56.47,1084.0,56.451,4
2026-04-16 04:17:00-04:00,56.57,56.57,56.57,56.57,215.0,56.57,1
2026-04-16 04:18:00-04:00,56.64,56.68,56.64,56.68,900.0,56.651,8
2026-04-16 04:19:00-04:00,56.65,56.65,56.51,56.52,1588.0,56.566,8
2026-04-16 04:20:00-04:00,56.52,56.52,56.52,56.52,0.0,56.52,0
2026-04-16 04:21:00-04:00,56.63,56.63,56.63,56.63,176.0,56.63,1
2026-04-16 04:22:00-04:00,56.7,56.7,56.7,56.7,100.0,56.7,1
2026-04-16 04:23:00-04:00,56.7,56.7,56.7,56.7,100.0,56.7,1
2026-04-16 04:24:00-04:00,56.7,56.7,56.7,56.7,350.0,56.7,2
2026-04-16 04:25:00-04:00,56.7,56.7,56.7,56.7,296.0,56.7,1
