date,open,high,low,close,volume,average,barCount
2026-04-16 09:30:00-04:00,392.92,393.11,389.57,391.34,4886.0,392.212,10
2026-04-16 09:31:00-04:00,391.56,391.78,391.55,391.78,2800.0,391.565,10
2026-04-16 09:32:00-04:00,393.11,393.11,393.11,393.11,100.0,393.11,1
2026-04-16 09:33:00-04:00,393.11,393.11,393.11,393.11,0.0,393.11,0
2026-04-16 09:34:00-04:00,391.56,391.56,391.55,391.56,130.0,391.555,1
2026-04-16 09:35:00-04:00,391.56,391.56,391.55,391.56,600.0,391.555,1
2026-04-16 09:36:00-04:00,390.68,391.09,390.0,390.0,700.0,390.63,7
2026-04-16 09:37:00-04:00,388.94,388.94,385.45,386.73,3254.0,387.446,13
2026-04-16 09:38:00-04:00,386.46,389.9,386.09,389.9,2200.0,387.496,22
2026-04-16 09:39:00-04:00,389.9,389.9,389.9,389.9,0.0,389.9,0
2026-04-16 09:40:00-04:00,388.32,388.32,387.81,387.81,200.0,388.065,2
2026-04-16 09:41:00-04:00,390.32,390.32,387.92,387.92,200.0,389.12,2
2026-04-16 09:42:00-04:00,388.81,388.82,388.81,388.81,128.0,388.815,1
2026-04-16 09:43:00-04:00,387.1,388.82,387.01,388.74,1310.0,387.493,12
2026-04-16 09:44:00-04:00,388.81,388.82,388.81,388.81,100.0,388.815,1
2026-04-16 09:45:00-04:00,387.52,387.52,387.52,387.52,100.0,387.52,1
2026-04-16 09:46:00-04:00,387.04,387.04,387.03,387.04,100.0,387.035,1
2026-04-16 09:47:00-04:00,384.84,384.85,384.84,384.84,743.0,384.84,2
2026-04-16 09:48:00-04:00,385.13,386.62,385.13,386.62,2060.0,386.176,17
2026-04-16 09:49:00-04:00,387.16,387.36,386.69,387.36,1275.0,387.139,8
2026-04-16 09:50:00-04:00,387.36,387.36,387.36,387.36,0.0,387.36,0
2026-04-16 09:51:00-04:00,386.11,388.53,386.02,388.53,300.0,386.887,3
2026-04-16 09:52:00-04:00,385.13,385.13,385.13,385.13,300.0,385.13,3
2026-04-16 09:53:00-04:00,385.13,385.13,385.13,385.13,0.0,385.13,0
2026-04-16 09:54:00-04:00,385.13,385.13,385.13,385.13,0.0,385.13,0
2026-04-16 09:55:00-04:00,382.71,382.93,381.75,382.93,1650.0,382.475,12
2026-04-16 09:56:00-04:00,385.52,385.52,384.24,384.6,505.0,384.675,4
2026-04-16 09:57:00-04:00,384.88,384.88,384.88,384.88,235.0,384.88,1
2026-04-16 09:58:00-04:00,385.31,385.31,385.04,385.04,350.0,385.233,2
2026-04-16 09:59:00-04:00,383.25,384.59,382.07,384.58,1136.0,383.498,8
2026-04-16 10:00:00-04:00,384.58,385.5,384.57,385.5,1822.0,385.011,14
2026-04-16 10:01:00-04:00,385.05,385.97,385.05,385.97,200.0,385.508,2
2026-04-16 10:02:00-04:00,385.97,385.97,385.97,385.97,0.0,385.97,0
2026-04-16 10:03:00-04:00,385.97,385.97,385.96,385.97,117.0,385.965,1
2026-04-16 10:04:00-04:00,384.87,385.3,384.71,385.3,1796.0,385.056,16
2026-04-16 10:05:00-04:00,385.43,385.43,385.43,385.43,130.0,385.43,1
2026-04-16 10:06:00-04:00,384.89,384.89,384.89,384.89,200.0,384.89,2
2026-04-16 10:07:00-04:00,384.89,384.89,384.89,384.89,0.0,384.89,0
2026-04-16 10:08:00-04:00,385.45,386.76,385.28,385.28,314.0,385.871,3
2026-04-16 10:09:00-04:00,384.99,384.99,383.67,384.22,1846.0,384.53,17
2026-04-16 10:10:00-04:00,384.22,384.53,383.95,383.96,873.0,384.173,8
2026-04-16 10:11:00-04:00,384.83,386.55,384.83,386.24,1707.0,385.867,17
