date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00-04:00,71.04,71.7,71.0,71.1,1637.0,71.308,11
2026-04-16 04:01:00-04:00,71.12,73.8,70.3,72.1,101065.0,72.306,435
2026-04-16 04:02:00-04:00,71.82,72.95,70.5,71.0,32340.0,71.449,141
2026-04-16 04:03:00-04:00,71.0,71.16,71.0,71.16,200.0,71.08,2
2026-04-16 04:04:00-04:00,70.83,70.84,70.83,70.84,452.0,70.836,2
2026-04-16 04:05:00-04:00,72.2,72.2,70.57,70.75,835.0,71.536,5
2026-04-16 04:06:00-04:00,70.58,72.58,70.38,70.38,829.0,70.97,6
2026-04-16 04:07:00-04:00,70.39,70.5,70.38,70.38,2269.0,70.425,13
2026-04-16 04:08:00-04:00,70.38,70.38,70.38,70.38,416.0,70.38,2
2026-04-16 04:09:00-04:00,71.0,71.0,71.0,71.0,300.0,71.0,1
2026-04-16 04:10:00-04:00,70.48,70.48,70.48,70.48,232.0,70.48,1
2026-04-16 04:11:00-04:00,70.21,70.21,70.2,70.2,915.0,70.202,4
2026-04-16 04:12:00-04:00,70.2,70.2,70.2,70.2,224.0,70.2,1
2026-04-16 04:13:00-04:00,70.02,70.02,69.8,69.8,3970.0,69.851,13
2026-04-16 04:14:00-04:00,69.8,70.0,69.8,70.0,1820.0,69.91,4
2026-04-16 04:15:00-04:00,70.0,70.0,69.91,69.91,628.0,69.986,4
2026-04-16 04:16:00-04:00,69.91,69.91,69.91,69.91,0.0,69.91,0
2026-04-16 04:17:00-04:00,69.91,69.91,69.91,69.91,0.0,69.91,0
2026-04-16 04:18:00-04:00,69.95,69.96,69.95,69.96,368.0,69.953,2
2026-04-16 04:19:00-04:00,69.96,69.96,69.96,69.96,0.0,69.96,0
2026-04-16 04:20:00-04:00,69.96,69.96,69.96,69.96,0.0,69.96,0
2026-04-16 04:21:00-04:00,70.03,70.16,70.03,70.16,1944.0,70.142,4
2026-04-16 04:22:00-04:00,70.16,70.16,70.16,70.16,0.0,70.16,0
2026-04-16 04:23:00-04:00,70.44,70.44,70.43,70.43,200.0,70.435,2
2026-04-16 04:24:00-04:00,70.36,70.36,70.36,70.36,200.0,70.36,1
2026-04-16 04:25:00-04:00,70.36,70.4,70.36,70.4,565.0,70.381,2
2026-04-16 04:26:00-04:00,70.11,70.11,70.11,70.11,172.0,70.11,1
2026-04-16 04:27:00-04:00,70.11,70.11,70.11,70.11,0.0,70.11,0
2026-04-16 04:28:00-04:00,70.11,70.11,70.11,70.11,0.0,70.11,0
2026-04-16 04:29:00-04:00,70.16,70.28,70.16,70.28,620.0,70.179,2
2026-04-16 04:30:00-04:00,70.36,70.37,70.36,70.36,100.0,70.36,1
2026-04-16 04:31:00-04:00,70.18,70.18,70.18,70.18,250.0,70.18,1
2026-04-16 04:32:00-04:00,70.18,70.18,70.18,70.18,0.0,70.18,0
2026-04-16 04:33:00-04:00,70.18,70.18,70.18,70.18,0.0,70.18,0
2026-04-16 04:34:00-04:00,70.2,70.2,70.2,70.2,100.0,70.2,1
2026-04-16 04:35:00-04:00,70.16,70.16,70.16,70.16,230.0,70.16,1
2026-04-16 04:36:00-04:00,70.0,70.0,69.96,69.96,200.0,69.98,2
2026-04-16 04:37:00-04:00,69.96,69.96,69.96,69.96,0.0,69.96,0
2026-04-16 04:38:00-04:00,69.97,69.97,69.97,69.97,131.0,69.97,1
2026-04-16 04:39:00-04:00,69.98,69.98,69.97,69.97,200.0,69.975,2
2026-04-16 04:40:00-04:00,69.8,69.8,69.46,69.59,2351.0,69.501,10
2026-04-16 04:41:00-04:00,70.0,71.0,70.0,71.0,1520.0,70.594,10
2026-04-16 04:42:00-04:00,71.01,71.01,70.9,70.9,389.0,70.976,2
2026-04-16 04:43:00-04:00,71.0,71.0,70.77,70.77,1008.0,70.969,2
2026-04-16 04:44:00-04:00,70.94,71.2,70.94,71.2,5664.0,70.986,25
2026-04-16 04:45:00-04:00,71.2,71.2,71.2,71.2,0.0,71.2,0
2026-04-16 04:46:00-04:00,71.2,71.2,71.2,71.2,0.0,71.2,0
2026-04-16 04:47:00-04:00,71.0,71.0,70.8,70.8,1500.0,70.933,2
2026-04-16 04:48:00-04:00,70.5,70.5,70.5,70.5,332.0,70.5,2
2026-04-16 04:49:00-04:00,70.5,70.5,70.5,70.5,0.0,70.5,0
2026-04-16 04:50:00-04:00,70.68,70.68,70.6,70.6,1100.0,70.607,3
2026-04-16 04:51:00-04:00,70.54,70.54,70.51,70.51,800.0,70.516,8
