date,open,high,low,close,volume,average,barCount
2026-04-20 07:06:00-04:00,76.7,76.7,76.7,76.7,499.0,76.7,1
2026-04-20 07:07:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:08:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:09:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:10:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:11:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:12:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:13:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:14:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:15:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:16:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:17:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:18:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:19:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:20:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:21:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:22:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:23:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:24:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:25:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:26:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:27:00-04:00,76.7,76.7,76.7,76.7,0.0,76.7,0
2026-04-20 07:28:00-04:00,77.0,77.0,77.0,77.0,200.0,77.0,1
2026-04-20 07:29:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:30:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:31:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:32:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:33:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:34:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:35:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:36:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:37:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:38:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:39:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:40:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:41:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:42:00-04:00,77.0,77.0,77.0,77.0,0.0,77.0,0
2026-04-20 07:43:00-04:00,77.32,77.33,77.32,77.32,100.0,77.321,1
2026-04-20 07:44:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:45:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:46:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:47:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:48:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:49:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:50:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:51:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:52:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:53:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:54:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:55:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:56:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:57:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:58:00-04:00,77.32,77.32,77.32,77.32,0.0,77.32,0
2026-04-20 07:59:00-04:00,77.13,77.13,77.13,77.13,100.0,77.13,1
2026-04-20 08:00:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:01:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:02:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:03:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:04:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:05:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:06:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:07:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:08:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:09:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:10:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:11:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:12:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:13:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:14:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:15:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:16:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:17:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:18:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:19:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:20:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:21:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:22:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:23:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:24:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:25:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:26:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:27:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:28:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:29:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:30:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:31:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:32:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:33:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:34:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:35:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:36:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:37:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:38:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:39:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:40:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:41:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:42:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:43:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:44:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:45:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:46:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:47:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:48:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:49:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:50:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:51:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:52:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:53:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:54:00-04:00,77.13,77.13,77.13,77.13,0.0,77.13,0
2026-04-20 08:55:00-04:00,77.3,77.3,77.3,77.3,145.0,77.3,1
2026-04-20 08:56:00-04:00,77.3,77.3,77.3,77.3,0.0,77.3,0
2026-04-20 08:57:00-04:00,77.3,77.3,77.3,77.3,0.0,77.3,0
2026-04-20 08:58:00-04:00,77.01,77.01,77.01,77.01,200.0,77.01,2
2026-04-20 08:59:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:00:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:01:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:02:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:03:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:04:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:05:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:06:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:07:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:08:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:09:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:10:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:11:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:12:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:13:00-04:00,76.92,76.94,76.9,76.94,1500.0,76.915,4
2026-04-20 09:14:00-04:00,76.94,76.94,76.94,76.94,0.0,76.94,0
2026-04-20 09:15:00-04:00,76.94,76.94,76.94,76.94,0.0,76.94,0
2026-04-20 09:16:00-04:00,76.94,76.94,76.94,76.94,0.0,76.94,0
2026-04-20 09:17:00-04:00,76.94,76.94,76.94,76.94,0.0,76.94,0
2026-04-20 09:18:00-04:00,76.94,76.94,76.94,76.94,0.0,76.94,0
2026-04-20 09:19:00-04:00,76.94,76.94,76.94,76.94,0.0,76.94,0
2026-04-20 09:20:00-04:00,77.0,77.01,77.0,77.01,784.0,77.007,3
2026-04-20 09:21:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:22:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:23:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:24:00-04:00,77.01,77.01,77.01,77.01,0.0,77.01,0
2026-04-20 09:25:00-04:00,76.88,76.88,76.88,76.88,150.0,76.88,1
2026-04-20 09:26:00-04:00,76.88,76.88,76.88,76.88,0.0,76.88,0
2026-04-20 09:27:00-04:00,76.88,76.88,76.88,76.88,0.0,76.88,0
2026-04-20 09:28:00-04:00,76.88,76.88,76.88,76.88,0.0,76.88,0
2026-04-20 09:29:00-04:00,77.0,77.0,77.0,77.0,900.0,77.0,1
2026-04-20 09:30:00-04:00,77.0,77.32,76.91,77.02,80120.0,77.005,33
2026-04-20 09:31:00-04:00,77.03,77.16,76.85,76.96,72737.0,77.048,308
2026-04-20 09:32:00-04:00,76.96,77.0,76.91,76.98,25488.0,76.986,104
2026-04-20 09:33:00-04:00,77.0,77.04,76.87,76.91,62130.0,77.003,236
2026-04-20 09:34:00-04:00,76.94,76.96,76.83,76.91,8131.0,76.898,50
2026-04-20 09:35:00-04:00,76.97,77.09,76.97,77.02,73775.0,77.013,335
2026-04-20 09:36:00-04:00,77.03,77.05,77.0,77.02,72130.0,77.014,353
2026-04-20 09:37:00-04:00,77.02,77.04,76.94,76.95,36105.0,77.007,129
2026-04-20 09:38:00-04:00,76.87,76.95,76.78,76.81,9529.0,76.866,60
2026-04-20 09:39:00-04:00,76.84,76.84,76.74,76.74,6782.0,76.782,55
2026-04-20 09:40:00-04:00,76.71,76.71,76.62,76.63,4660.0,76.664,30
2026-04-20 09:41:00-04:00,76.65,76.83,76.65,76.75,8537.0,76.746,51
2026-04-20 09:42:00-04:00,76.77,76.86,76.77,76.84,1700.0,76.823,11
2026-04-20 09:43:00-04:00,76.85,76.96,76.85,76.88,12819.0,76.882,38
2026-04-20 09:44:00-04:00,76.89,76.91,76.84,76.86,3516.0,76.877,18
2026-04-20 09:45:00-04:00,76.81,76.93,76.8,76.89,7677.0,76.868,56
2026-04-20 09:46:00-04:00,76.88,76.95,76.87,76.91,5503.0,76.898,32
2026-04-20 09:47:00-04:00,76.9,76.9,76.86,76.88,3354.0,76.881,24
2026-04-20 09:48:00-04:00,76.88,76.89,76.84,76.88,5664.0,76.859,25
2026-04-20 09:49:00-04:00,76.84,76.92,76.84,76.92,3145.0,76.888,13
2026-04-20 09:50:00-04:00,76.92,76.96,76.91,76.92,5494.0,76.927,35
2026-04-20 09:51:00-04:00,76.95,77.0,76.94,76.96,7118.0,76.968,50
2026-04-20 09:52:00-04:00,76.95,76.95,76.88,76.91,6897.0,76.915,43
2026-04-20 09:53:00-04:00,76.91,77.0,76.88,76.97,6529.0,76.944,41
2026-04-20 09:54:00-04:00,76.95,77.0,76.92,77.0,3420.0,76.947,30
2026-04-20 09:55:00-04:00,76.95,77.0,76.95,76.99,7392.0,76.989,24
2026-04-20 09:56:00-04:00,76.99,77.0,76.87,76.87,6353.0,76.957,51
2026-04-20 09:57:00-04:00,76.86,76.95,76.86,76.95,5744.0,76.892,47
2026-04-20 09:58:00-04:00,76.95,76.97,76.92,76.92,5321.0,76.942,39
2026-04-20 09:59:00-04:00,76.93,76.94,76.89,76.92,8879.0,76.919,55
2026-04-20 10:00:00-04:00,76.91,76.91,76.77,76.82,9079.0,76.825,58
2026-04-20 10:01:00-04:00,76.84,76.85,76.71,76.77,11505.0,76.787,77
2026-04-20 10:02:00-04:00,76.76,76.8,76.66,76.67,15028.0,76.725,90
2026-04-20 10:03:00-04:00,76.67,76.68,76.63,76.65,11442.0,76.654,71
2026-04-20 10:04:00-04:00,76.65,76.7,76.63,76.65,9151.0,76.667,65
2026-04-20 10:05:00-04:00,76.65,76.7,76.6,76.66,50424.0,76.659,114
2026-04-20 10:06:00-04:00,76.66,76.69,76.56,76.64,13654.0,76.624,86
2026-04-20 10:07:00-04:00,76.65,76.7,76.62,76.65,6704.0,76.663,49
2026-04-20 10:08:00-04:00,76.64,76.78,76.64,76.76,7413.0,76.733,55
2026-04-20 10:09:00-04:00,76.78,76.81,76.76,76.77,3534.0,76.787,27
2026-04-20 10:10:00-04:00,76.77,76.82,76.76,76.79,3020.0,76.786,23
2026-04-20 10:11:00-04:00,76.8,76.8,76.74,76.74,4330.0,76.777,20
2026-04-20 10:12:00-04:00,76.77,76.77,76.71,76.72,10201.0,76.726,87
