date,open,high,low,close,volume,average,barCount
2026-04-20 04:00:00-04:00,27.13,27.13,27.0,27.11,1352.0,27.097,7
2026-04-20 04:01:00-04:00,27.06,27.27,26.81,27.06,23070.0,26.987,97
2026-04-20 04:02:00-04:00,26.93,26.93,26.93,26.93,100.0,26.93,1
2026-04-20 04:03:00-04:00,26.91,26.99,26.91,26.91,591.0,26.941,5
2026-04-20 04:04:00-04:00,26.92,26.92,26.92,26.92,332.0,26.92,3
2026-04-20 04:05:00-04:00,26.92,26.92,26.92,26.92,0.0,26.92,0
2026-04-20 04:06:00-04:00,26.8,26.8,26.8,26.8,785.0,26.8,4
2026-04-20 04:07:00-04:00,26.79,26.8,26.79,26.8,239.0,26.794,2
2026-04-20 04:08:00-04:00,26.76,26.76,26.76,26.76,134.0,26.76,1
2026-04-20 04:09:00-04:00,26.74,26.79,26.74,26.78,3873.0,26.752,17
2026-04-20 04:10:00-04:00,26.78,26.78,26.78,26.78,1070.0,26.78,2
2026-04-20 04:11:00-04:00,26.86,26.88,26.82,26.88,1704.0,26.864,12
2026-04-20 04:12:00-04:00,26.99,27.16,26.85,27.0,897.0,26.99,6
2026-04-20 04:13:00-04:00,26.72,26.72,26.72,26.72,100.0,26.72,1
2026-04-20 04:14:00-04:00,26.79,26.79,26.79,26.79,196.0,26.79,1
2026-04-20 04:15:00-04:00,26.79,26.79,26.79,26.79,0.0,26.79,0
2026-04-20 04:16:00-04:00,26.79,26.79,26.79,26.79,0.0,26.79,0
2026-04-20 04:17:00-04:00,26.8,26.8,26.8,26.8,100.0,26.8,1
2026-04-20 04:18:00-04:00,26.9,26.91,26.9,26.91,407.0,26.905,2
2026-04-20 04:19:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:20:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:21:00-04:00,27.0,27.0,27.0,27.0,100.0,27.0,1
2026-04-20 04:22:00-04:00,27.0,27.0,27.0,27.0,0.0,27.0,0
2026-04-20 04:23:00-04:00,27.0,27.0,27.0,27.0,0.0,27.0,0
2026-04-20 04:24:00-04:00,26.9,26.91,26.9,26.91,290.0,26.906,2
2026-04-20 04:25:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:26:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:27:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:28:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:29:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:30:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:31:00-04:00,26.91,26.91,26.91,26.91,0.0,26.91,0
2026-04-20 04:32:00-04:00,26.92,26.92,26.92,26.92,1200.0,26.92,1
2026-04-20 04:33:00-04:00,26.92,26.92,26.92,26.92,0.0,26.92,0
2026-04-20 04:34:00-04:00,26.92,26.92,26.92,26.92,0.0,26.92,0
2026-04-20 04:35:00-04:00,26.92,26.92,26.92,26.92,0.0,26.92,0
2026-04-20 04:36:00-04:00,26.92,26.92,26.92,26.92,0.0,26.92,0
2026-04-20 04:37:00-04:00,26.93,26.93,26.92,26.93,394.0,26.925,3
2026-04-20 04:38:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:39:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:40:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:41:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:42:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:43:00-04:00,26.86,26.86,26.86,26.86,100.0,26.86,1
2026-04-20 04:44:00-04:00,26.86,26.86,26.86,26.86,0.0,26.86,0
2026-04-20 04:45:00-04:00,26.85,26.85,26.81,26.81,2415.0,26.834,7
2026-04-20 04:46:00-04:00,26.81,26.81,26.81,26.81,0.0,26.81,0
2026-04-20 04:47:00-04:00,26.81,26.81,26.81,26.81,0.0,26.81,0
2026-04-20 04:48:00-04:00,26.81,26.81,26.81,26.81,0.0,26.81,0
2026-04-20 04:49:00-04:00,26.79,26.79,26.79,26.79,100.0,26.79,1
2026-04-20 04:50:00-04:00,26.8,26.85,26.8,26.85,274.0,26.819,2
2026-04-20 04:51:00-04:00,26.85,26.85,26.85,26.85,0.0,26.85,0
2026-04-20 04:52:00-04:00,26.85,26.93,26.85,26.93,4300.0,26.887,12
2026-04-20 04:53:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:54:00-04:00,26.93,26.93,26.93,26.93,0.0,26.93,0
2026-04-20 04:55:00-04:00,26.85,26.85,26.85,26.85,180.0,26.85,1
2026-04-20 04:56:00-04:00,26.85,26.85,26.85,26.85,0.0,26.85,0
2026-04-20 04:57:00-04:00,26.95,26.95,26.95,26.95,185.0,26.95,1
2026-04-20 04:58:00-04:00,26.95,26.95,26.95,26.95,0.0,26.95,0
2026-04-20 04:59:00-04:00,26.95,26.95,26.95,26.95,0.0,26.95,0
2026-04-20 05:00:00-04:00,27.01,27.01,27.01,27.01,930.0,27.01,2
2026-04-20 05:01:00-04:00,27.01,27.01,27.01,27.01,0.0,27.01,0
2026-04-20 05:02:00-04:00,27.01,27.01,27.01,27.01,0.0,27.01,0
2026-04-20 05:03:00-04:00,27.01,27.01,27.01,27.01,0.0,27.01,0
2026-04-20 05:04:00-04:00,27.01,27.01,27.01,27.01,172.0,27.01,1
2026-04-20 05:05:00-04:00,27.01,27.01,27.01,27.01,0.0,27.01,0
2026-04-20 05:06:00-04:00,27.07,27.11,27.07,27.1,3644.0,27.098,8
2026-04-20 05:07:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:08:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:09:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:10:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:11:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:12:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:13:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:14:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:15:00-04:00,27.1,27.1,27.1,27.1,0.0,27.1,0
2026-04-20 05:16:00-04:00,27.06,27.06,27.06,27.06,315.0,27.06,2
2026-04-20 05:17:00-04:00,27.06,27.06,27.06,27.06,0.0,27.06,0
2026-04-20 05:18:00-04:00,27.06,27.06,27.06,27.06,0.0,27.06,0
2026-04-20 05:19:00-04:00,27.06,27.06,27.06,27.06,0.0,27.06,0
2026-04-20 05:20:00-04:00,27.05,27.05,27.05,27.05,804.0,27.05,2
2026-04-20 05:21:00-04:00,27.05,27.05,27.05,27.05,0.0,27.05,0
2026-04-20 05:22:00-04:00,27.16,27.18,27.16,27.18,2425.0,27.175,8
2026-04-20 05:23:00-04:00,27.23,27.23,27.23,27.23,215.0,27.23,1
2026-04-20 05:24:00-04:00,27.3,27.36,27.3,27.34,2064.0,27.341,11
2026-04-20 05:25:00-04:00,27.34,27.34,27.33,27.33,910.0,27.332,7
2026-04-20 05:26:00-04:00,27.33,27.33,27.33,27.33,0.0,27.33,0
2026-04-20 05:27:00-04:00,27.34,27.34,27.34,27.34,450.0,27.34,1
2026-04-20 05:28:00-04:00,27.34,27.34,27.34,27.34,0.0,27.34,0
2026-04-20 05:29:00-04:00,27.29,27.33,27.29,27.3,437.0,27.304,4
2026-04-20 05:30:00-04:00,27.3,27.3,27.3,27.3,0.0,27.3,0
2026-04-20 05:31:00-04:00,27.33,27.33,27.33,27.33,304.0,27.33,1
2026-04-20 05:32:00-04:00,27.31,27.36,27.31,27.35,1989.0,27.335,10
2026-04-20 05:33:00-04:00,27.35,27.36,27.33,27.33,100142.0,27.33,9
