date,open,high,low,close,volume,average,barCount
2026-04-20 04:00:00-04:00,46.34,46.6,46.34,46.5,1861.0,46.427,5
2026-04-20 04:01:00-04:00,46.1,46.45,45.5,45.94,1556.0,45.832,10
2026-04-20 04:02:00-04:00,45.94,45.94,45.94,45.94,0.0,45.94,0
2026-04-20 04:03:00-04:00,45.94,45.94,45.94,45.94,0.0,45.94,0
2026-04-20 04:04:00-04:00,45.94,45.94,45.94,45.94,0.0,45.94,0
2026-04-20 04:05:00-04:00,46.15,46.15,46.15,46.15,100.0,46.15,1
2026-04-20 04:06:00-04:00,46.15,46.15,46.15,46.15,0.0,46.15,0
2026-04-20 04:07:00-04:00,46.15,46.15,46.15,46.15,0.0,46.15,0
2026-04-20 04:08:00-04:00,46.1,46.1,46.1,46.1,114.0,46.1,1
2026-04-20 04:09:00-04:00,46.1,46.1,46.1,46.1,1600.0,46.1,2
2026-04-20 04:10:00-04:00,46.1,46.1,46.1,46.1,0.0,46.1,0
2026-04-20 04:11:00-04:00,45.5,45.5,45.49,45.49,1100.0,45.499,2
2026-04-20 04:12:00-04:00,45.49,45.49,45.49,45.49,0.0,45.49,0
2026-04-20 04:13:00-04:00,45.49,45.49,45.49,45.49,0.0,45.49,0
2026-04-20 04:14:00-04:00,46.2,46.2,46.2,46.2,2854.0,46.2,8
2026-04-20 04:15:00-04:00,46.2,46.2,46.2,46.2,0.0,46.2,0
2026-04-20 04:16:00-04:00,46.2,46.2,46.2,46.2,0.0,46.2,0
2026-04-20 04:17:00-04:00,46.2,46.2,46.2,46.2,0.0,46.2,0
2026-04-20 04:18:00-04:00,46.49,46.58,46.49,46.58,300.0,46.52,2
2026-04-20 04:19:00-04:00,46.58,46.58,46.58,46.58,0.0,46.58,0
2026-04-20 04:20:00-04:00,46.58,46.58,46.58,46.58,0.0,46.58,0
2026-04-20 04:21:00-04:00,46.58,46.58,46.58,46.58,0.0,46.58,0
2026-04-20 04:22:00-04:00,46.32,46.48,46.32,46.48,2066.0,46.408,8
2026-04-20 04:23:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:24:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:25:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:26:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:27:00-04:00,46.46,46.47,46.46,46.47,300.0,46.463,3
2026-04-20 04:28:00-04:00,46.47,46.47,46.47,46.47,0.0,46.47,0
2026-04-20 04:29:00-04:00,46.47,46.47,46.47,46.47,0.0,46.47,0
2026-04-20 04:30:00-04:00,46.47,46.47,46.47,46.47,0.0,46.47,0
2026-04-20 04:31:00-04:00,46.48,46.48,46.48,46.48,115.0,46.48,1
2026-04-20 04:32:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:33:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:34:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:35:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:36:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:37:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:38:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:39:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:40:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:41:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:42:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:43:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:44:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:45:00-04:00,46.48,46.48,46.48,46.48,0.0,46.48,0
2026-04-20 04:46:00-04:00,46.25,46.48,46.25,46.48,2399.0,46.468,9
2026-04-20 04:47:00-04:00,46.3,46.3,46.3,46.3,138.0,46.3,1
2026-04-20 04:48:00-04:00,46.45,46.46,46.45,46.46,300.0,46.457,2
2026-04-20 04:49:00-04:00,46.46,46.46,46.46,46.46,0.0,46.46,0
2026-04-20 04:50:00-04:00,46.46,46.46,46.46,46.46,0.0,46.46,0
2026-04-20 04:51:00-04:00,46.46,46.46,46.46,46.46,0.0,46.46,0
2026-04-20 04:52:00-04:00,46.46,46.46,46.46,46.46,0.0,46.46,0
2026-04-20 04:53:00-04:00,46.46,46.46,46.46,46.46,0.0,46.46,0
2026-04-20 04:54:00-04:00,46.46,46.46,46.46,46.46,0.0,46.46,0
2026-04-20 04:55:00-04:00,46.05,46.05,46.04,46.05,400.0,46.045,1
2026-04-20 04:56:00-04:00,46.43,46.45,46.13,46.45,2000.0,46.421,13
2026-04-20 04:57:00-04:00,46.45,46.45,46.45,46.45,0.0,46.45,0
2026-04-20 04:58:00-04:00,46.45,46.45,46.45,46.45,0.0,46.45,0
2026-04-20 04:59:00-04:00,46.45,46.45,46.45,46.45,0.0,46.45,0
2026-04-20 05:00:00-04:00,46.45,46.45,46.45,46.45,0.0,46.45,0
2026-04-20 05:01:00-04:00,46.45,46.45,46.45,46.45,0.0,46.45,0
2026-04-20 05:02:00-04:00,46.44,46.44,46.39,46.39,2810.0,46.425,12
2026-04-20 05:03:00-04:00,46.39,46.39,46.39,46.39,0.0,46.39,0
2026-04-20 05:04:00-04:00,46.39,46.39,46.39,46.39,0.0,46.39,0
2026-04-20 05:05:00-04:00,46.39,46.39,46.39,46.39,0.0,46.39,0
2026-04-20 05:06:00-04:00,46.43,46.43,46.43,46.43,800.0,46.43,2
2026-04-20 05:07:00-04:00,46.43,46.43,46.43,46.43,0.0,46.43,0
2026-04-20 05:08:00-04:00,46.43,46.43,46.43,46.43,871.0,46.43,1
2026-04-20 05:09:00-04:00,46.43,46.43,46.43,46.43,0.0,46.43,0
2026-04-20 05:10:00-04:00,46.43,46.43,46.43,46.43,0.0,46.43,0
2026-04-20 05:11:00-04:00,46.43,46.43,46.43,46.43,0.0,46.43,0
2026-04-20 05:12:00-04:00,46.43,46.43,46.43,46.43,0.0,46.43,0
2026-04-20 05:13:00-04:00,46.3,46.4,46.3,46.4,349.0,46.329,2
2026-04-20 05:14:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:15:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:16:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:17:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:18:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:19:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:20:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:21:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:22:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:23:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:24:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:25:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:26:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:27:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:28:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:29:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:30:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:31:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:32:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
2026-04-20 05:33:00-04:00,46.4,46.4,46.4,46.4,0.0,46.4,0
