date,open,high,low,close,volume,average,barCount
2026-04-20 04:00:00-04:00,70.3,70.3,70.0,70.0,2276.0,70.135,17
2026-04-20 04:01:00-04:00,70.1,70.58,69.65,70.54,8560.0,70.023,17
2026-04-20 04:02:00-04:00,69.87,70.52,69.8,70.49,2910.0,70.073,17
2026-04-20 04:03:00-04:00,70.54,70.67,69.6,70.09,87407.0,70.129,299
2026-04-20 04:04:00-04:00,69.93,70.24,69.93,70.08,1945.0,70.118,9
2026-04-20 04:05:00-04:00,69.96,69.96,69.96,69.96,144.0,69.96,1
2026-04-20 04:06:00-04:00,70.19,70.19,70.17,70.18,480.0,70.18,4
2026-04-20 04:07:00-04:00,70.2,70.2,70.2,70.2,100.0,70.2,1
2026-04-20 04:08:00-04:00,70.22,70.5,70.22,70.4,1814.0,70.415,9
2026-04-20 04:09:00-04:00,70.5,70.5,69.6,70.5,737.0,70.166,5
2026-04-20 04:10:00-04:00,70.5,70.5,70.5,70.5,0.0,70.5,0
2026-04-20 04:11:00-04:00,70.4,70.4,70.19,70.19,516.0,70.282,2
2026-04-20 04:12:00-04:00,70.32,70.49,70.32,70.49,2581.0,70.441,19
2026-04-20 04:13:00-04:00,70.45,70.45,70.45,70.45,500.0,70.45,1
2026-04-20 04:14:00-04:00,70.45,70.45,70.45,70.45,0.0,70.45,0
2026-04-20 04:15:00-04:00,70.47,70.47,70.47,70.47,250.0,70.47,1
2026-04-20 04:16:00-04:00,70.46,70.47,70.46,70.47,220.0,70.465,2
2026-04-20 04:17:00-04:00,70.47,70.47,70.47,70.47,0.0,70.47,0
2026-04-20 04:18:00-04:00,70.47,70.47,70.47,70.47,0.0,70.47,0
2026-04-20 04:19:00-04:00,70.47,70.47,70.47,70.47,0.0,70.47,0
2026-04-20 04:20:00-04:00,70.49,70.57,70.49,70.57,1031.0,70.559,3
2026-04-20 04:21:00-04:00,70.56,70.69,70.56,70.69,500.0,70.664,2
2026-04-20 04:22:00-04:00,70.63,70.68,70.63,70.68,494.0,70.665,2
2026-04-20 04:23:00-04:00,70.68,70.68,70.68,70.68,0.0,70.68,0
2026-04-20 04:24:00-04:00,70.7,70.7,70.7,70.7,200.0,70.7,2
2026-04-20 04:25:00-04:00,70.63,70.63,70.56,70.56,1557.0,70.62,6
2026-04-20 04:26:00-04:00,70.71,70.72,70.71,70.72,253.0,70.714,2
2026-04-20 04:27:00-04:00,70.79,70.84,70.79,70.84,523.0,70.806,4
2026-04-20 04:28:00-04:00,70.84,70.84,70.84,70.84,0.0,70.84,0
2026-04-20 04:29:00-04:00,70.75,70.75,70.75,70.75,165.0,70.75,1
2026-04-20 04:30:00-04:00,70.75,70.75,70.75,70.75,0.0,70.75,0
2026-04-20 04:31:00-04:00,70.6,70.64,70.5,70.64,1975.0,70.575,11
2026-04-20 04:32:00-04:00,70.64,70.64,70.64,70.64,0.0,70.64,0
2026-04-20 04:33:00-04:00,70.64,70.64,70.64,70.64,0.0,70.64,0
2026-04-20 04:34:00-04:00,70.64,70.64,70.64,70.64,0.0,70.64,0
2026-04-20 04:35:00-04:00,70.64,70.64,70.64,70.64,0.0,70.64,0
2026-04-20 04:36:00-04:00,70.52,70.52,70.52,70.52,100.0,70.52,1
2026-04-20 04:37:00-04:00,70.52,70.52,70.52,70.52,0.0,70.52,0
2026-04-20 04:38:00-04:00,70.74,70.74,70.74,70.74,306.0,70.74,1
2026-04-20 04:39:00-04:00,70.74,70.84,70.74,70.84,200.0,70.79,2
2026-04-20 04:40:00-04:00,70.8,70.87,70.8,70.87,400.0,70.835,3
2026-04-20 04:41:00-04:00,70.87,70.87,70.87,70.87,0.0,70.87,0
2026-04-20 04:42:00-04:00,70.87,70.87,70.87,70.87,0.0,70.87,0
2026-04-20 04:43:00-04:00,70.59,70.59,70.57,70.57,400.0,70.585,4
2026-04-20 04:44:00-04:00,70.57,70.57,70.57,70.57,0.0,70.57,0
2026-04-20 04:45:00-04:00,70.57,70.57,70.57,70.57,0.0,70.57,0
2026-04-20 04:46:00-04:00,70.64,70.67,70.64,70.67,475.0,70.664,3
2026-04-20 04:47:00-04:00,70.67,70.67,70.67,70.67,0.0,70.67,0
2026-04-20 04:48:00-04:00,70.65,70.65,70.65,70.65,529.0,70.65,1
2026-04-20 04:49:00-04:00,70.71,70.71,70.71,70.71,280.0,70.71,1
2026-04-20 04:50:00-04:00,70.71,70.71,70.71,70.71,0.0,70.71,0
2026-04-20 04:51:00-04:00,70.71,70.71,70.71,70.71,0.0,70.71,0
2026-04-20 04:52:00-04:00,70.71,70.71,70.71,70.71,0.0,70.71,0
2026-04-20 04:53:00-04:00,70.71,70.71,70.71,70.71,0.0,70.71,0
2026-04-20 04:54:00-04:00,70.71,70.71,70.71,70.71,0.0,70.71,0
2026-04-20 04:55:00-04:00,70.71,70.71,70.71,70.71,0.0,70.71,0
2026-04-20 04:56:00-04:00,70.7,70.7,70.7,70.7,201.0,70.7,1
2026-04-20 04:57:00-04:00,70.7,70.82,70.7,70.76,1323.0,70.798,4
