date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,66.48,66.49,65.89,66.34,237849.0,66.208,579
2026-04-21 04:01:00-04:00,66.36,66.48,65.92,66.34,26496.0,66.288,118
2026-04-21 04:02:00-04:00,66.33,66.35,66.32,66.35,4244.0,66.346,10
2026-04-21 04:03:00-04:00,66.35,66.36,66.3,66.34,2006.0,66.347,9
2026-04-21 04:04:00-04:00,66.33,66.33,66.31,66.32,300.0,66.323,3
2026-04-21 04:05:00-04:00,66.3,66.44,65.9,66.27,5344.0,66.316,29
2026-04-21 04:06:00-04:00,66.31,66.31,66.25,66.25,300.0,66.29,2
2026-04-21 04:07:00-04:00,66.22,66.24,66.15,66.17,7181.0,66.208,24
2026-04-21 04:08:00-04:00,66.19,66.25,66.18,66.25,2166.0,66.206,10
2026-04-21 04:09:00-04:00,66.2,66.2,66.19,66.19,1995.0,66.198,3
2026-04-21 04:10:00-04:00,66.26,66.27,66.23,66.23,423.0,66.259,4
2026-04-21 04:11:00-04:00,66.3,66.3,66.19,66.19,2226.0,66.255,9
2026-04-21 04:12:00-04:00,66.2,66.25,66.2,66.25,7392.0,66.239,6
2026-04-21 04:13:00-04:00,66.25,66.29,66.2,66.2,1617.0,66.227,7
2026-04-21 04:14:00-04:00,66.2,66.2,66.05,66.17,12176.0,66.136,26
2026-04-21 04:15:00-04:00,66.17,66.17,66.17,66.17,0.0,66.17,0
2026-04-21 04:16:00-04:00,66.2,66.2,66.2,66.2,216.0,66.2,2
2026-04-21 04:17:00-04:00,66.17,66.25,66.16,66.22,4252.0,66.189,14
2026-04-21 04:18:00-04:00,66.22,66.24,66.18,66.23,1230.0,66.211,5
2026-04-21 04:19:00-04:00,66.23,66.23,66.23,66.23,0.0,66.23,0
2026-04-21 04:20:00-04:00,66.22,66.23,66.2,66.23,1595.0,66.209,6
2026-04-21 04:21:00-04:00,66.23,66.23,66.23,66.23,0.0,66.23,0
2026-04-21 04:22:00-04:00,66.25,66.28,66.25,66.27,6334.0,66.251,6
2026-04-21 04:23:00-04:00,66.27,66.27,66.27,66.27,0.0,66.27,0
2026-04-21 04:24:00-04:00,66.28,66.29,66.27,66.28,4110.0,66.289,5
