date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,48.64,48.89,48.6,48.83,41638.0,48.78374,151
2026-04-21 04:01:00-04:00,48.77,48.87,48.61,48.83,5840.0,48.77018,31
2026-04-21 04:02:00-04:00,48.8,48.8,48.75,48.75,1517.0,48.77947,5
2026-04-21 04:03:00-04:00,48.79,48.8,48.79,48.79,1457.0,48.79588,7
2026-04-21 04:04:00-04:00,48.79,48.79,48.79,48.79,0.0,48.79,0
2026-04-21 04:05:00-04:00,48.82,48.89,48.64,48.89,1500.0,48.83759,9
2026-04-21 04:06:00-04:00,48.88,48.88,48.84,48.85,918.0,48.86786,6
2026-04-21 04:07:00-04:00,48.78,48.78,48.78,48.78,200.0,48.78,2
2026-04-21 04:08:00-04:00,48.78,48.78,48.78,48.78,0.0,48.78,0
2026-04-21 04:09:00-04:00,48.84,48.84,48.84,48.84,338.0,48.84,1
2026-04-21 04:10:00-04:00,48.84,48.84,48.84,48.84,0.0,48.84,0
2026-04-21 04:11:00-04:00,48.74,48.74,48.74,48.74,393.0,48.74,1
2026-04-21 04:12:00-04:00,48.75,48.75,48.75,48.75,150.0,48.75,1
2026-04-21 04:13:00-04:00,48.71,48.71,48.71,48.71,210.0,48.71,1
2026-04-21 04:14:00-04:00,48.7,48.7,48.67,48.69,2543.0,48.69245,8
2026-04-21 04:15:00-04:00,48.7,48.7,48.7,48.7,600.0,48.7,1
2026-04-21 04:16:00-04:00,48.7,48.7,48.7,48.7,0.0,48.7,0
2026-04-21 04:17:00-04:00,48.73,48.73,48.73,48.73,618.0,48.73,1
2026-04-21 04:18:00-04:00,48.74,48.74,48.74,48.74,100.0,48.74,1
2026-04-21 04:19:00-04:00,48.75,48.77,48.75,48.77,441.0,48.75966,2
2026-04-21 04:20:00-04:00,48.77,48.77,48.77,48.77,0.0,48.77,0
2026-04-21 04:21:00-04:00,48.79,48.79,48.785,48.785,210.0,48.78762,2
2026-04-21 04:22:00-04:00,48.785,48.785,48.785,48.785,0.0,48.785,0
2026-04-21 04:23:00-04:00,48.85,48.85,48.85,48.85,735.0,48.85,4
2026-04-21 04:24:00-04:00,48.8199,48.84,48.8199,48.84,556.0,48.83628,2
2026-04-21 04:25:00-04:00,48.84,48.84,48.84,48.84,137.0,48.84,1
2026-04-21 04:26:00-04:00,48.86,48.9,48.86,48.9,499.0,48.87395,3
2026-04-21 04:27:00-04:00,48.935,48.95,48.935,48.95,304.0,48.94507,2
2026-04-21 04:28:00-04:00,48.975,48.975,48.96,48.96,350.0,48.96429,2
2026-04-21 04:29:00-04:00,49.0,49.12,48.99,49.12,1818.0,49.06389,9
2026-04-21 04:30:00-04:00,49.11,49.1294,49.06,49.06,4486.0,49.10405,9
2026-04-21 04:31:00-04:00,49.04,49.04,49.04,49.04,106.0,49.04,1
2026-04-21 04:32:00-04:00,49.08,49.08,49.08,49.08,100.0,49.08,1
2026-04-21 04:33:00-04:00,49.01,49.0248,48.99,49.0248,1012.0,49.00589,7
2026-04-21 04:34:00-04:00,49.0248,49.0248,49.0248,49.0248,0.0,49.0248,0
2026-04-21 04:35:00-04:00,48.99,48.99,48.99,48.99,504.0,48.99,2
2026-04-21 04:36:00-04:00,48.975,48.975,48.975,48.975,100.0,48.975,1
2026-04-21 04:37:00-04:00,48.99,49.0,48.98,48.98,1138.0,48.99116,6
2026-04-21 04:38:00-04:00,48.97,48.97,48.92,48.92,766.0,48.93651,4
2026-04-21 04:39:00-04:00,48.92,48.92,48.92,48.92,0.0,48.92,0
2026-04-21 04:40:00-04:00,48.97,49.0,48.97,49.0,893.0,48.98448,2
2026-04-21 04:41:00-04:00,49.03,49.03,49.0,49.0,945.0,49.01241,6
2026-04-21 04:42:00-04:00,49.0,49.0,49.0,49.0,0.0,49.0,0
2026-04-21 04:43:00-04:00,49.05,49.05,48.98,49.04,2296.0,49.03868,6
2026-04-21 04:44:00-04:00,49.08,49.08,49.08,49.08,618.0,49.08,1
2026-04-21 04:45:00-04:00,49.12,49.13,49.12,49.13,399.0,49.12624,3
2026-04-21 04:46:00-04:00,49.13,49.13,49.13,49.13,0.0,49.13,0
2026-04-21 04:47:00-04:00,49.14,49.14,49.14,49.14,929.0,49.14,3
2026-04-21 04:48:00-04:00,49.16,49.17,49.16,49.17,329.0,49.16422,2
2026-04-21 04:49:00-04:00,49.16,49.17,49.16,49.17,900.0,49.16111,2
2026-04-21 04:50:00-04:00,49.17,49.17,49.17,49.17,0.0,49.17,0
2026-04-21 04:51:00-04:00,49.12,49.19,49.12,49.15,2240.0,49.14481,4
2026-04-21 04:52:00-04:00,49.1,49.19,49.1,49.17,1696.0,49.14877,9
