date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,172.81,173.1,171.0,172.48,75263.0,172.198,740
2026-04-21 04:01:00-04:00,172.52,173.1,171.1,172.5,11701.0,172.028,116
2026-04-21 04:02:00-04:00,172.5,172.92,172.5,172.92,860.0,172.767,11
2026-04-21 04:03:00-04:00,172.81,172.95,172.74,172.8,2332.0,172.811,25
2026-04-21 04:04:00-04:00,172.8,172.8,172.62,172.8,838.0,172.781,6
2026-04-21 04:05:00-04:00,172.66,172.77,172.6,172.77,2000.0,172.629,14
2026-04-21 04:06:00-04:00,172.8,172.8,172.6,172.75,912.0,172.723,10
2026-04-21 04:07:00-04:00,172.8,172.8,172.61,172.61,365.0,172.689,5
2026-04-21 04:08:00-04:00,172.86,172.97,171.05,172.54,8214.0,172.292,108
2026-04-21 04:09:00-04:00,172.54,172.64,172.5,172.64,4706.0,172.587,24
2026-04-21 04:10:00-04:00,172.55,172.9,172.55,172.72,1234.0,172.754,13
2026-04-21 04:11:00-04:00,172.8,172.85,172.8,172.85,192.0,172.817,4
2026-04-21 04:12:00-04:00,172.72,172.72,172.5,172.7,1582.0,172.593,11
2026-04-21 04:13:00-04:00,172.69,172.71,172.69,172.7,567.0,172.701,9
2026-04-21 04:14:00-04:00,172.75,172.8,172.75,172.8,532.0,172.78,5
2026-04-21 04:15:00-04:00,172.72,172.85,172.72,172.85,737.0,172.799,11
2026-04-21 04:16:00-04:00,172.88,172.9,172.75,172.75,1235.0,172.824,17
2026-04-21 04:17:00-04:00,172.86,173.0,172.86,173.0,4642.0,172.987,35
2026-04-21 04:18:00-04:00,173.01,173.1,172.98,173.06,1132.0,173.023,12
2026-04-21 04:19:00-04:00,172.91,173.1,172.85,173.1,1563.0,172.926,19
2026-04-21 04:20:00-04:00,173.1,173.25,173.1,173.25,1491.0,173.135,22
2026-04-21 04:21:00-04:00,173.23,173.28,173.15,173.17,716.0,173.21,13
2026-04-21 04:22:00-04:00,173.17,173.17,173.17,173.17,0.0,173.17,0
2026-04-21 04:23:00-04:00,173.29,173.29,173.02,173.13,2743.0,173.159,37
2026-04-21 04:24:00-04:00,173.13,173.13,173.1,173.12,1024.0,173.126,6
2026-04-21 04:25:00-04:00,173.06,173.1,173.02,173.06,1181.0,173.059,16
2026-04-21 04:26:00-04:00,173.06,173.21,173.06,173.21,1699.0,173.142,12
2026-04-21 04:27:00-04:00,173.36,173.36,173.23,173.23,1463.0,173.265,16
2026-04-21 04:28:00-04:00,173.3,173.3,173.3,173.3,40.0,173.3,1
2026-04-21 04:29:00-04:00,173.43,173.61,173.4,173.6,1647.0,173.515,19
2026-04-21 04:30:00-04:00,173.57,173.64,173.48,173.54,2526.0,173.562,38
2026-04-21 04:31:00-04:00,173.54,173.59,173.39,173.42,3216.0,173.468,43
2026-04-21 04:32:00-04:00,173.58,173.59,173.43,173.5,1169.0,173.503,10
2026-04-21 04:33:00-04:00,173.49,173.49,173.4,173.4,753.0,173.427,6
2026-04-21 04:34:00-04:00,173.44,173.55,173.44,173.48,579.0,173.48,9
2026-04-21 04:35:00-04:00,173.48,173.5,173.47,173.5,1037.0,173.487,10
2026-04-21 04:36:00-04:00,173.46,173.51,173.34,173.51,583.0,173.412,8
2026-04-21 04:37:00-04:00,173.3,173.54,173.3,173.4,483.0,173.447,3
2026-04-21 04:38:00-04:00,173.54,173.54,173.5,173.54,237.0,173.52,3
2026-04-21 04:39:00-04:00,173.54,173.6,173.5,173.6,1374.0,173.54,18
2026-04-21 04:40:00-04:00,173.51,173.69,173.51,173.69,445.0,173.61,6
2026-04-21 04:41:00-04:00,173.69,173.69,173.63,173.66,216.0,173.655,4
2026-04-21 04:42:00-04:00,173.7,173.7,173.64,173.68,472.0,173.676,8
2026-04-21 04:43:00-04:00,173.65,173.7,173.63,173.67,647.0,173.663,10
2026-04-21 04:44:00-04:00,173.79,173.82,173.78,173.81,1158.0,173.802,11
2026-04-21 04:45:00-04:00,173.83,173.83,173.77,173.8,817.0,173.805,10
2026-04-21 04:46:00-04:00,173.85,173.96,173.85,173.96,401.0,173.888,5
2026-04-21 04:47:00-04:00,173.99,174.48,173.94,174.48,7821.0,174.06,71
2026-04-21 04:48:00-04:00,174.31,174.72,174.31,174.72,4043.0,174.613,47
2026-04-21 04:49:00-04:00,174.75,174.8,174.58,174.58,3100.0,174.692,38
2026-04-21 04:50:00-04:00,174.6,174.73,174.51,174.73,1110.0,174.581,14
2026-04-21 04:51:00-04:00,174.5,174.64,174.42,174.55,1007.0,174.491,14
2026-04-21 04:52:00-04:00,174.53,174.53,174.39,174.4,620.0,174.432,12
2026-04-21 04:53:00-04:00,174.48,174.55,174.35,174.4,3510.0,174.484,37
2026-04-21 04:54:00-04:00,174.33,174.49,174.03,174.4,4390.0,174.191,34
2026-04-21 04:55:00-04:00,174.13,174.2,173.96,174.0,1238.0,174.067,12
2026-04-21 04:56:00-04:00,174.08,174.08,173.76,173.76,633.0,173.847,7
2026-04-21 04:57:00-04:00,174.15,174.32,174.01,174.01,589.0,174.131,9
2026-04-21 04:58:00-04:00,174.04,174.21,174.04,174.21,864.0,174.166,11
2026-04-21 04:59:00-04:00,174.18,174.31,174.18,174.28,759.0,174.298,6
2026-04-21 05:00:00-04:00,174.26,174.34,174.16,174.34,2174.0,174.254,23
2026-04-21 05:01:00-04:00,174.28,174.29,174.06,174.16,1830.0,174.184,24
2026-04-21 05:02:00-04:00,174.16,174.16,174.06,174.06,1091.0,174.094,11
2026-04-21 05:03:00-04:00,174.11,174.14,173.98,174.04,1736.0,174.039,21
2026-04-21 05:04:00-04:00,174.06,174.17,174.04,174.17,483.0,174.062,7
2026-04-21 05:05:00-04:00,174.32,174.43,174.2,174.36,1645.0,174.3,20
2026-04-21 05:06:00-04:00,174.08,174.2,174.04,174.17,921.0,174.1,11
2026-04-21 05:07:00-04:00,174.17,174.36,173.82,173.86,2076.0,174.076,21
2026-04-21 05:08:00-04:00,173.82,173.82,173.82,173.82,65.0,173.82,1
2026-04-21 05:09:00-04:00,173.9,173.9,173.66,173.66,792.0,173.779,13
