date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,95.0,95.29,94.84,95.07,56809.0,95.088,956
2026-04-21 04:01:00-04:00,95.12,95.29,94.86,95.05,13784.0,95.078,188
2026-04-21 04:02:00-04:00,95.05,95.15,95.04,95.1,373.0,95.084,9
2026-04-21 04:03:00-04:00,95.07,95.12,95.07,95.1,643.0,95.091,11
2026-04-21 04:04:00-04:00,95.07,95.1,95.05,95.1,656.0,95.07,13
2026-04-21 04:05:00-04:00,95.08,95.12,95.07,95.12,766.0,95.096,10
2026-04-21 04:06:00-04:00,95.12,95.15,95.1,95.11,313.0,95.124,11
2026-04-21 04:07:00-04:00,95.1,95.28,94.85,95.07,2974.0,95.13,64
2026-04-21 04:08:00-04:00,95.07,95.29,95.07,95.11,1050.0,95.187,27
2026-04-21 04:09:00-04:00,95.14,95.16,95.14,95.15,780.0,95.154,5
2026-04-21 04:10:00-04:00,95.17,95.19,95.13,95.15,1607.0,95.143,15
2026-04-21 04:11:00-04:00,95.18,95.19,95.15,95.15,709.0,95.175,17
2026-04-21 04:12:00-04:00,95.15,95.15,95.11,95.14,398.0,95.124,8
2026-04-21 04:13:00-04:00,95.14,95.15,95.1,95.15,2575.0,95.133,14
2026-04-21 04:14:00-04:00,95.18,95.19,95.15,95.19,50.0,95.174,3
2026-04-21 04:15:00-04:00,95.13,95.18,95.11,95.16,1745.0,95.132,27
2026-04-21 04:16:00-04:00,95.15,95.15,95.1,95.15,783.0,95.127,16
2026-04-21 04:17:00-04:00,95.14,95.16,95.13,95.13,1144.0,95.143,14
2026-04-21 04:18:00-04:00,95.16,95.17,95.13,95.13,1328.0,95.164,10
2026-04-21 04:19:00-04:00,95.17,95.18,95.17,95.17,476.0,95.171,11
2026-04-21 04:20:00-04:00,95.15,95.21,95.15,95.21,576.0,95.183,14
2026-04-21 04:21:00-04:00,95.2,95.2,95.16,95.2,429.0,95.191,7
2026-04-21 04:22:00-04:00,95.17,95.17,95.17,95.17,10.0,95.17,1
