date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,10.97,10.99,10.88,10.89,141186.0,10.93718,288
2026-04-21 04:01:00-04:00,10.92,10.99,10.89,10.905,22052.0,10.93416,48
2026-04-21 04:02:00-04:00,10.92,10.92,10.92,10.92,200.0,10.92,1
2026-04-21 04:03:00-04:00,10.93,10.93,10.9,10.93,4100.0,10.92659,8
2026-04-21 04:04:00-04:00,10.92,10.92,10.91,10.92,605.0,10.91835,3
2026-04-21 04:05:00-04:00,10.9365,10.9365,10.9,10.9,1297.0,10.90281,4
2026-04-21 04:06:00-04:00,10.9,10.9,10.86,10.86,8961.0,10.87758,15
2026-04-21 04:07:00-04:00,10.93,10.97,10.87,10.89,7640.0,10.90824,22
2026-04-21 04:08:00-04:00,10.89,10.89,10.89,10.89,1499.0,10.89,4
2026-04-21 04:09:00-04:00,10.87,10.9,10.86,10.9,2025.0,10.88614,6
2026-04-21 04:10:00-04:00,10.88,10.89,10.86,10.87,2193.0,10.875,5
2026-04-21 04:11:00-04:00,10.87,10.88,10.87,10.88,715.0,10.87228,4
2026-04-21 04:12:00-04:00,10.9,10.9,10.89,10.89,3681.0,10.89917,4
2026-04-21 04:13:00-04:00,10.9,10.9,10.89,10.9,2600.0,10.89769,6
2026-04-21 04:14:00-04:00,10.88,10.89,10.87,10.89,2603.0,10.87989,8
2026-04-21 04:15:00-04:00,10.89,10.89,10.89,10.89,417.0,10.89,1
2026-04-21 04:16:00-04:00,10.87,10.89,10.87,10.89,587.0,10.87341,2
2026-04-21 04:17:00-04:00,10.88,10.89,10.88,10.89,6923.0,10.88673,9
2026-04-21 04:18:00-04:00,10.9,10.91,10.895,10.9,4732.0,10.89819,14
2026-04-21 04:19:00-04:00,10.91,10.91,10.91,10.91,1400.0,10.91,2
2026-04-21 04:20:00-04:00,10.92,10.92,10.92,10.92,12247.0,10.92,13
2026-04-21 04:21:00-04:00,10.92,10.92,10.9101,10.9101,5346.0,10.91074,5
2026-04-21 04:22:00-04:00,10.91,10.91,10.91,10.91,402.0,10.91,2
2026-04-21 04:23:00-04:00,10.93,10.93,10.93,10.93,1538.0,10.93,4
2026-04-21 04:24:00-04:00,10.93,10.93,10.93,10.93,115.0,10.93,1
2026-04-21 04:25:00-04:00,10.93,10.93,10.93,10.93,604.0,10.93,3
2026-04-21 04:26:00-04:00,10.93,10.93,10.92,10.92,213.0,10.92469,2
2026-04-21 04:27:00-04:00,10.91,10.91,10.91,10.91,100.0,10.91,1
2026-04-21 04:28:00-04:00,10.91,10.93,10.9,10.9298,4120.0,10.91154,9
2026-04-21 04:29:00-04:00,10.93,10.93,10.93,10.93,692.0,10.93,3
2026-04-21 04:30:00-04:00,10.93,10.93,10.9,10.9,1824.0,10.92666,4
2026-04-21 04:31:00-04:00,10.91,10.92,10.9,10.91,5118.0,10.90131,20
2026-04-21 04:32:00-04:00,10.93,10.93,10.9,10.9,3390.0,10.92723,7
2026-04-21 04:33:00-04:00,10.92,10.92,10.92,10.92,100.0,10.92,1
2026-04-21 04:34:00-04:00,10.88,10.88,10.88,10.88,159.0,10.88,1
2026-04-21 04:35:00-04:00,10.9,10.93,10.9,10.93,614.0,10.9187,4
2026-04-21 04:36:00-04:00,10.92,10.92,10.92,10.92,2000.0,10.92,1
2026-04-21 04:37:00-04:00,10.92,10.93,10.92,10.93,2469.0,10.92876,7
2026-04-21 04:38:00-04:00,10.92,10.92,10.92,10.92,100.0,10.92,1
2026-04-21 04:39:00-04:00,10.93,10.93,10.93,10.93,500.0,10.93,2
2026-04-21 04:40:00-04:00,10.9,10.93,10.9,10.93,2190.0,10.92315,10
2026-04-21 04:41:00-04:00,10.93,10.93,10.93,10.93,120.0,10.93,1
2026-04-21 04:42:00-04:00,10.93,10.94,10.93,10.93,1475.0,10.93539,8
2026-04-21 04:43:00-04:00,10.94,10.94,10.94,10.94,700.0,10.94,4
2026-04-21 04:44:00-04:00,10.94,10.95,10.94,10.95,1049.0,10.94905,4
2026-04-21 04:45:00-04:00,10.95,10.95,10.94,10.945,2943.0,10.94381,6
2026-04-21 04:46:00-04:00,10.94,10.95,10.94,10.95,450.0,10.94556,2
2026-04-21 04:47:00-04:00,10.95,10.96,10.95,10.96,9412.0,10.95029,8
2026-04-21 04:48:00-04:00,10.96,10.96,10.96,10.96,1313.0,10.96,3
2026-04-21 04:49:00-04:00,10.96,10.96,10.96,10.96,1500.0,10.96,1
2026-04-21 04:50:00-04:00,10.96,10.975,10.96,10.97,9998.0,10.97015,13
2026-04-21 04:51:00-04:00,10.98,10.99,10.98,10.99,2764.0,10.98334,5
2026-04-21 04:52:00-04:00,10.99,10.99,10.98,10.99,1185.0,10.98916,6
2026-04-21 04:53:00-04:00,10.99,10.99,10.985,10.9895,2007.0,10.98808,5
2026-04-21 04:54:00-04:00,10.99,10.995,10.98,10.98,2388.0,10.98979,11
2026-04-21 04:55:00-04:00,10.99,10.99,10.985,10.985,300.0,10.98667,2
2026-04-21 04:56:00-04:00,10.98,10.99,10.98,10.98,2591.0,10.98502,11
2026-04-21 04:57:00-04:00,10.99,10.99,10.985,10.99,700.0,10.98857,5
2026-04-21 04:58:00-04:00,10.99,10.99,10.985,10.99,700.0,10.98714,3
2026-04-21 04:59:00-04:00,10.985,11.0,10.985,11.0,3304.0,10.99174,11
2026-04-21 05:00:00-04:00,11.0,11.02,11.0,11.02,16552.0,11.00195,31
2026-04-21 05:01:00-04:00,11.02,11.02,11.0,11.0,7448.0,11.00453,10
