date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,146.75,147.0,146.54,146.74,24452.0,146.768,143
2026-04-21 04:01:00-04:00,146.74,147.03,146.56,146.77,4380.0,146.777,32
2026-04-21 04:02:00-04:00,146.68,146.68,146.68,146.68,170.0,146.68,1
2026-04-21 04:03:00-04:00,146.68,146.68,146.68,146.68,0.0,146.68,0
2026-04-21 04:04:00-04:00,146.69,146.69,146.67,146.68,1279.0,146.684,3
2026-04-21 04:05:00-04:00,146.68,146.68,146.68,146.68,0.0,146.68,0
2026-04-21 04:06:00-04:00,146.63,146.63,146.6,146.6,1716.0,146.609,6
2026-04-21 04:07:00-04:00,146.6,146.6,146.6,146.6,0.0,146.6,0
2026-04-21 04:08:00-04:00,146.6,146.6,146.6,146.6,0.0,146.6,0
2026-04-21 04:09:00-04:00,146.64,146.66,146.6,146.6,1108.0,146.626,4
2026-04-21 04:10:00-04:00,146.6,146.65,146.6,146.61,310.0,146.618,3
2026-04-21 04:11:00-04:00,146.63,146.63,146.6,146.6,248.0,146.612,2
2026-04-21 04:12:00-04:00,146.66,146.66,146.6,146.6,637.0,146.644,3
2026-04-21 04:13:00-04:00,146.6,146.6,146.6,146.6,0.0,146.6,0
2026-04-21 04:14:00-04:00,146.6,146.6,146.6,146.6,0.0,146.6,0
2026-04-21 04:15:00-04:00,146.66,146.66,146.63,146.63,304.0,146.65,2
2026-04-21 04:16:00-04:00,146.63,146.63,146.63,146.63,0.0,146.63,0
2026-04-21 04:17:00-04:00,146.63,146.63,146.63,146.63,0.0,146.63,0
2026-04-21 04:18:00-04:00,146.63,146.63,146.63,146.63,0.0,146.63,0
2026-04-21 04:19:00-04:00,146.72,146.72,146.69,146.69,236.0,146.707,2
2026-04-21 04:20:00-04:00,146.69,146.69,146.69,146.69,0.0,146.69,0
2026-04-21 04:21:00-04:00,146.69,146.69,146.69,146.69,0.0,146.69,0
2026-04-21 04:22:00-04:00,146.79,146.88,146.79,146.88,1343.0,146.801,5
2026-04-21 04:23:00-04:00,146.88,146.88,146.88,146.88,0.0,146.88,0
2026-04-21 04:24:00-04:00,146.85,146.85,146.85,146.85,200.0,146.85,1
2026-04-21 04:25:00-04:00,146.87,146.87,146.87,146.87,354.0,146.87,3
2026-04-21 04:26:00-04:00,146.88,146.95,146.88,146.95,1052.0,146.911,5
2026-04-21 04:27:00-04:00,146.9,146.93,146.9,146.93,534.0,146.919,2
2026-04-21 04:28:00-04:00,146.96,147.0,146.95,147.0,1098.0,146.975,8
2026-04-21 04:29:00-04:00,147.0,147.0,147.0,147.0,200.0,147.0,2
2026-04-21 04:30:00-04:00,147.0,147.0,147.0,147.0,150.0,147.0,1
2026-04-21 04:31:00-04:00,147.0,147.0,147.0,147.0,0.0,147.0,0
2026-04-21 04:32:00-04:00,147.0,147.0,147.0,147.0,331.0,147.0,2
2026-04-21 04:33:00-04:00,147.0,147.0,147.0,147.0,533.0,147.0,2
2026-04-21 04:34:00-04:00,147.0,147.0,147.0,147.0,0.0,147.0,0
2026-04-21 04:35:00-04:00,146.96,146.96,146.95,146.95,300.0,146.953,3
2026-04-21 04:36:00-04:00,146.92,146.92,146.92,146.92,100.0,146.92,1
2026-04-21 04:37:00-04:00,146.9,146.9,146.88,146.89,267.0,146.896,2
2026-04-21 04:38:00-04:00,146.89,146.89,146.89,146.89,0.0,146.89,0
2026-04-21 04:39:00-04:00,146.89,146.89,146.89,146.89,0.0,146.89,0
2026-04-21 04:40:00-04:00,147.0,147.0,147.0,147.0,700.0,147.0,2
2026-04-21 04:41:00-04:00,147.01,147.02,147.01,147.02,1592.0,147.011,7
2026-04-21 04:42:00-04:00,147.07,147.07,147.07,147.07,100.0,147.07,1
2026-04-21 04:43:00-04:00,147.1,147.1,147.1,147.1,550.0,147.1,2
