date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,28.93,29.02,28.93,28.97,7427.0,28.985,16
2026-04-21 04:01:00-04:00,28.97,29.03,28.95,28.96,22417.0,28.974,72
2026-04-21 04:02:00-04:00,28.95,28.95,28.95,28.95,400.0,28.95,2
2026-04-21 04:03:00-04:00,28.91,28.91,28.91,28.91,1000.0,28.91,1
2026-04-21 04:04:00-04:00,28.91,28.91,28.91,28.91,0.0,28.91,0
2026-04-21 04:05:00-04:00,28.95,28.95,28.94,28.95,1434.0,28.945,5
2026-04-21 04:06:00-04:00,28.94,28.98,28.94,28.94,907.0,28.958,5
2026-04-21 04:07:00-04:00,28.94,28.94,28.94,28.94,0.0,28.94,0
2026-04-21 04:08:00-04:00,28.92,28.92,28.9,28.9,481.0,28.91,3
2026-04-21 04:09:00-04:00,28.9,28.91,28.9,28.91,600.0,28.909,6
2026-04-21 04:10:00-04:00,28.9,28.95,28.9,28.95,400.0,28.926,3
2026-04-21 04:11:00-04:00,28.92,28.92,28.92,28.92,675.0,28.92,1
2026-04-21 04:12:00-04:00,28.95,28.95,28.93,28.93,1100.0,28.946,3
2026-04-21 04:13:00-04:00,28.93,28.93,28.93,28.93,0.0,28.93,0
2026-04-21 04:14:00-04:00,28.93,28.93,28.93,28.93,0.0,28.93,0
2026-04-21 04:15:00-04:00,28.93,28.93,28.93,28.93,0.0,28.93,0
2026-04-21 04:16:00-04:00,28.93,28.93,28.93,28.93,0.0,28.93,0
2026-04-21 04:17:00-04:00,28.9,28.9,28.89,28.89,2682.0,28.899,5
2026-04-21 04:18:00-04:00,28.89,28.89,28.89,28.89,0.0,28.89,0
2026-04-21 04:19:00-04:00,28.89,28.89,28.89,28.89,0.0,28.89,0
2026-04-21 04:20:00-04:00,28.89,28.89,28.89,28.89,0.0,28.89,0
2026-04-21 04:21:00-04:00,28.89,28.89,28.89,28.89,0.0,28.89,0
2026-04-21 04:22:00-04:00,28.89,28.89,28.89,28.89,1561.0,28.89,5
2026-04-21 04:23:00-04:00,28.89,28.92,28.89,28.92,1239.0,28.903,6
2026-04-21 04:24:00-04:00,28.92,28.92,28.92,28.92,0.0,28.92,0
2026-04-21 04:25:00-04:00,28.91,28.91,28.91,28.91,300.0,28.91,1
2026-04-21 04:26:00-04:00,28.9,28.91,28.9,28.91,420.0,28.905,3
2026-04-21 04:27:00-04:00,28.91,28.91,28.91,28.91,100.0,28.91,1
2026-04-21 04:28:00-04:00,28.92,28.92,28.92,28.92,130.0,28.92,1
2026-04-21 04:29:00-04:00,28.93,28.93,28.93,28.93,109.0,28.93,1
2026-04-21 04:30:00-04:00,28.93,28.93,28.93,28.93,100.0,28.93,1
