date,open,high,low,close,volume,average,barCount
2026-04-21 04:00:00-04:00,23.0,23.02,22.79,22.8,58516.0,22.92,217
2026-04-21 04:01:00-04:00,22.89,23.02,22.75,22.75,13745.0,22.912,86
2026-04-21 04:02:00-04:00,22.72,22.72,22.7,22.7,300.0,22.713,2
2026-04-21 04:03:00-04:00,22.7,22.71,22.65,22.7,2287.0,22.695,6
2026-04-21 04:04:00-04:00,22.7,22.74,22.66,22.73,1981.0,22.693,12
2026-04-21 04:05:00-04:00,22.89,23.0,22.86,22.86,5588.0,22.932,18
2026-04-21 04:06:00-04:00,22.87,22.87,22.85,22.87,2591.0,22.869,4
2026-04-21 04:07:00-04:00,22.87,22.87,22.87,22.87,0.0,22.87,0
2026-04-21 04:08:00-04:00,22.86,22.86,22.79,22.85,593.0,22.831,4
2026-04-21 04:09:00-04:00,22.86,22.86,22.81,22.86,400.0,22.848,4
2026-04-21 04:10:00-04:00,22.78,22.78,22.78,22.78,600.0,22.78,3
2026-04-21 04:11:00-04:00,22.78,22.78,22.78,22.78,0.0,22.78,0
2026-04-21 04:12:00-04:00,22.8,22.81,22.8,22.8,599.0,22.804,2
2026-04-21 04:13:00-04:00,22.85,22.85,22.85,22.85,300.0,22.85,3
2026-04-21 04:14:00-04:00,22.8,22.85,22.8,22.85,987.0,22.826,4
2026-04-21 04:15:00-04:00,22.82,22.83,22.8,22.8,1096.0,22.816,4
2026-04-21 04:16:00-04:00,22.8,22.8,22.8,22.8,0.0,22.8,0
2026-04-21 04:17:00-04:00,22.8,22.8,22.8,22.8,0.0,22.8,0
2026-04-21 04:18:00-04:00,22.85,22.85,22.85,22.85,827.0,22.85,1
2026-04-21 04:19:00-04:00,22.85,22.85,22.85,22.85,0.0,22.85,0
2026-04-21 04:20:00-04:00,22.85,22.85,22.85,22.85,0.0,22.85,0
2026-04-21 04:21:00-04:00,22.89,22.89,22.88,22.88,580.0,22.888,2
2026-04-21 04:22:00-04:00,22.88,22.88,22.88,22.88,0.0,22.88,0
2026-04-21 04:23:00-04:00,22.88,22.88,22.87,22.87,600.0,22.878,3
2026-04-21 04:24:00-04:00,22.89,22.89,22.83,22.83,490.0,22.846,4
2026-04-21 04:25:00-04:00,22.83,22.83,22.83,22.83,0.0,22.83,0
2026-04-21 04:26:00-04:00,22.83,22.83,22.83,22.83,0.0,22.83,0
2026-04-21 04:27:00-04:00,22.87,22.87,22.87,22.87,131.0,22.87,1
2026-04-21 04:28:00-04:00,22.89,22.89,22.88,22.89,100.0,22.889,1
2026-04-21 04:29:00-04:00,22.83,22.83,22.8,22.8,3256.0,22.807,13
2026-04-21 04:30:00-04:00,22.8,22.8,22.78,22.79,4097.0,22.8,2
2026-04-21 04:31:00-04:00,22.8,22.8,22.78,22.79,479.0,22.791,2
2026-04-21 04:32:00-04:00,22.79,22.79,22.79,22.79,0.0,22.79,0
2026-04-21 04:33:00-04:00,22.79,22.79,22.79,22.79,0.0,22.79,0
2026-04-21 04:34:00-04:00,22.82,22.82,22.82,22.82,372.0,22.82,1
2026-04-21 04:35:00-04:00,22.82,22.82,22.82,22.82,0.0,22.82,0
2026-04-21 04:36:00-04:00,22.82,22.82,22.82,22.82,100.0,22.82,1
2026-04-21 04:37:00-04:00,22.82,22.82,22.82,22.82,0.0,22.82,0
2026-04-21 04:38:00-04:00,22.82,22.82,22.82,22.82,500.0,22.82,1
2026-04-21 04:39:00-04:00,22.8,22.8,22.8,22.8,1100.0,22.8,11
2026-04-21 04:40:00-04:00,22.83,22.83,22.83,22.83,100.0,22.83,1
2026-04-21 04:41:00-04:00,22.83,22.83,22.83,22.83,0.0,22.83,0
2026-04-21 04:42:00-04:00,22.84,22.84,22.84,22.84,3059.0,22.84,1
