date,open,high,low,close,volume,average,barCount
2026-04-22 09:28:00-04:00,85.45,85.45,85.35,85.35,414.0,85.4,2
2026-04-22 09:29:00-04:00,85.35,85.35,85.35,85.35,0.0,85.35,0
2026-04-22 09:30:00-04:00,85.75,86.11,85.63,86.06,71652.0,85.783,90
2026-04-22 09:31:00-04:00,85.77,86.26,85.76,86.17,3502.0,86.087,26
2026-04-22 09:32:00-04:00,86.17,86.78,86.17,86.78,5975.0,86.491,46
2026-04-22 09:33:00-04:00,86.8,87.0,86.71,86.95,682.0,86.899,6
2026-04-22 09:34:00-04:00,87.11,87.13,86.4,86.46,6782.0,86.78,48
2026-04-22 09:35:00-04:00,86.47,86.47,86.35,86.46,4104.0,86.452,14
2026-04-22 09:36:00-04:00,86.45,86.45,86.13,86.2,3161.0,86.264,28
2026-04-22 09:37:00-04:00,86.21,86.31,86.21,86.23,1792.0,86.23,7
2026-04-22 09:38:00-04:00,86.23,86.23,86.23,86.23,100.0,86.23,1
2026-04-22 09:39:00-04:00,86.23,86.23,86.22,86.23,2200.0,86.225,6
2026-04-22 09:40:00-04:00,86.21,86.44,86.17,86.17,10711.0,86.334,88
2026-04-22 09:41:00-04:00,86.23,86.23,86.12,86.12,1501.0,86.162,12
2026-04-22 09:42:00-04:00,86.18,86.18,86.05,86.07,9298.0,86.134,71
2026-04-22 09:43:00-04:00,86.04,86.33,85.9,86.26,19190.0,86.098,79
2026-04-22 09:44:00-04:00,86.26,86.26,86.04,86.05,1499.0,86.165,13
2026-04-22 09:45:00-04:00,86.06,86.47,86.06,86.37,6341.0,86.301,43
2026-04-22 09:46:00-04:00,86.37,86.37,86.22,86.23,4458.0,86.279,36
2026-04-22 09:47:00-04:00,86.23,86.23,86.0,86.0,6009.0,86.067,57
2026-04-22 09:48:00-04:00,86.04,86.05,85.89,85.9,1723.0,85.987,14
2026-04-22 09:49:00-04:00,86.0,86.06,85.91,85.97,2447.0,85.985,21
2026-04-22 09:50:00-04:00,85.97,85.97,85.88,85.88,400.0,85.911,4
2026-04-22 09:51:00-04:00,85.88,85.92,85.81,85.86,1400.0,85.85,14
2026-04-22 09:52:00-04:00,85.8,85.87,85.74,85.87,900.0,85.817,9
2026-04-22 09:53:00-04:00,85.91,85.93,85.81,85.81,3299.0,85.864,14
2026-04-22 09:54:00-04:00,85.76,85.86,85.69,85.86,2124.0,85.757,17
2026-04-22 09:55:00-04:00,85.86,85.86,85.77,85.81,1926.0,85.801,14
2026-04-22 09:56:00-04:00,85.81,85.83,85.75,85.83,1949.0,85.782,18
2026-04-22 09:57:00-04:00,85.76,85.87,85.76,85.77,2204.0,85.79,16
2026-04-22 09:58:00-04:00,85.73,85.74,85.73,85.73,200.0,85.733,2
2026-04-22 09:59:00-04:00,85.73,86.06,85.73,86.06,6190.0,85.925,41
2026-04-22 10:00:00-04:00,86.04,86.12,85.88,85.91,6451.0,86.022,51
2026-04-22 10:01:00-04:00,85.95,85.97,85.91,85.92,3381.0,85.952,26
2026-04-22 10:02:00-04:00,85.92,85.98,85.91,85.95,1682.0,85.941,12
2026-04-22 10:03:00-04:00,85.9,85.91,85.81,85.88,5390.0,85.854,23
2026-04-22 10:04:00-04:00,85.88,85.88,85.81,85.84,3320.0,85.853,19
2026-04-22 10:05:00-04:00,85.83,85.87,85.81,85.83,1854.0,85.848,15
2026-04-22 10:06:00-04:00,85.84,85.97,85.8,85.95,3140.0,85.872,28
2026-04-22 10:07:00-04:00,85.94,85.99,85.91,85.95,1000.0,85.962,9
2026-04-22 10:08:00-04:00,85.97,85.98,85.76,85.84,5682.0,85.847,43
2026-04-22 10:09:00-04:00,85.76,85.77,85.75,85.75,915.0,85.766,6
2026-04-22 10:10:00-04:00,85.74,85.76,85.64,85.64,3733.0,85.69,22
2026-04-22 10:11:00-04:00,85.64,85.64,85.46,85.51,15072.0,85.566,87
2026-04-22 10:12:00-04:00,85.51,85.57,85.4,85.41,14627.0,85.489,48
2026-04-22 10:13:00-04:00,85.39,85.41,85.33,85.37,8660.0,85.368,52
2026-04-22 10:14:00-04:00,85.4,85.51,85.36,85.47,11477.0,85.453,38
2026-04-22 10:15:00-04:00,85.45,85.51,85.33,85.47,9712.0,85.384,48
2026-04-22 10:16:00-04:00,85.48,85.65,85.45,85.65,15962.0,85.509,89
2026-04-22 10:17:00-04:00,85.66,85.74,85.63,85.73,4457.0,85.723,19
2026-04-22 10:18:00-04:00,85.73,85.73,85.6,85.6,1750.0,85.689,15
2026-04-22 10:19:00-04:00,85.62,85.62,85.5,85.57,1685.0,85.536,14
2026-04-22 10:20:00-04:00,85.44,85.49,85.44,85.46,700.0,85.464,5
2026-04-22 10:21:00-04:00,85.44,85.53,85.43,85.53,1722.0,85.449,16
2026-04-22 10:22:00-04:00,85.48,85.49,85.43,85.45,7025.0,85.476,14
2026-04-22 10:23:00-04:00,85.45,85.45,85.41,85.41,404.0,85.436,2
2026-04-22 10:24:00-04:00,85.47,85.47,85.38,85.43,1669.0,85.427,13
2026-04-22 10:25:00-04:00,85.43,85.43,85.43,85.43,0.0,85.43,0
2026-04-22 10:26:00-04:00,85.4,85.49,85.4,85.4,1720.0,85.448,17
2026-04-22 10:27:00-04:00,85.44,85.44,85.4,85.4,400.0,85.425,4
2026-04-22 10:28:00-04:00,85.38,85.39,85.36,85.37,1397.0,85.372,6
2026-04-22 10:29:00-04:00,85.37,85.4,85.27,85.31,4700.0,85.326,18
2026-04-22 10:30:00-04:00,85.31,85.32,85.23,85.29,1736.0,85.274,14
2026-04-22 10:31:00-04:00,85.26,85.32,85.25,85.31,811.0,85.286,7
2026-04-22 10:32:00-04:00,85.32,85.33,85.32,85.33,400.0,85.324,4
2026-04-22 10:33:00-04:00,85.3,85.33,85.26,85.26,1712.0,85.281,14
2026-04-22 10:34:00-04:00,85.26,85.31,85.25,85.26,4301.0,85.289,20
2026-04-22 10:35:00-04:00,85.27,85.38,85.26,85.36,8568.0,85.365,15
2026-04-22 10:36:00-04:00,85.38,85.38,85.17,85.21,5997.0,85.222,51
2026-04-22 10:37:00-04:00,85.18,85.25,85.18,85.2,1908.0,85.196,13
2026-04-22 10:38:00-04:00,85.2,85.2,85.13,85.2,5061.0,85.186,18
2026-04-22 10:39:00-04:00,85.14,85.18,85.14,85.16,6950.0,85.157,22
2026-04-22 10:40:00-04:00,85.11,85.12,85.11,85.12,1294.0,85.111,4
2026-04-22 10:41:00-04:00,85.12,85.15,85.07,85.12,5015.0,85.114,23
2026-04-22 10:42:00-04:00,85.13,85.21,85.06,85.19,18895.0,85.137,77
2026-04-22 10:43:00-04:00,85.22,85.25,85.22,85.24,2720.0,85.222,15
2026-04-22 10:44:00-04:00,85.23,85.33,85.23,85.28,4723.0,85.28,24
2026-04-22 10:45:00-04:00,85.31,85.36,85.3,85.31,3845.0,85.321,28
2026-04-22 10:46:00-04:00,85.34,85.36,85.18,85.18,4693.0,85.304,30
2026-04-22 10:47:00-04:00,85.22,85.22,85.16,85.2,444.0,85.194,4
2026-04-22 10:48:00-04:00,85.17,85.29,85.12,85.2,16404.0,85.222,80
2026-04-22 10:49:00-04:00,85.21,85.25,85.2,85.2,1209.0,85.227,10
2026-04-22 10:50:00-04:00,85.2,85.31,85.17,85.31,6319.0,85.239,39
2026-04-22 10:51:00-04:00,85.31,85.31,85.27,85.3,1345.0,85.301,13
2026-04-22 10:52:00-04:00,85.3,85.3,85.3,85.3,0.0,85.3,0
2026-04-22 10:53:00-04:00,85.27,85.27,85.2,85.2,1462.0,85.232,11
2026-04-22 10:54:00-04:00,85.17,85.23,85.17,85.23,1044.0,85.201,7
2026-04-22 10:55:00-04:00,85.19,85.25,85.19,85.25,6189.0,85.231,43
2026-04-22 10:56:00-04:00,85.25,85.28,85.15,85.2,15061.0,85.235,64
2026-04-22 10:57:00-04:00,85.22,85.3,85.22,85.27,2025.0,85.246,10
2026-04-22 10:58:00-04:00,85.27,85.31,85.26,85.27,2322.0,85.29,15
2026-04-22 10:59:00-04:00,85.31,85.37,85.28,85.34,8200.0,85.316,24
2026-04-22 11:00:00-04:00,85.33,85.36,85.33,85.34,3050.0,85.337,12
2026-04-22 11:01:00-04:00,85.37,85.37,85.31,85.31,1194.0,85.328,11
2026-04-22 11:02:00-04:00,85.3,85.33,85.28,85.29,4337.0,85.3,17
2026-04-22 11:03:00-04:00,85.29,85.33,85.28,85.29,8795.0,85.294,46
2026-04-22 11:04:00-04:00,85.31,85.32,85.31,85.31,350.0,85.312,2
2026-04-22 11:05:00-04:00,85.28,85.28,85.23,85.24,7374.0,85.25,39
2026-04-22 11:06:00-04:00,85.27,85.27,85.18,85.2,7463.0,85.226,29
2026-04-22 11:07:00-04:00,85.18,85.35,85.17,85.33,9296.0,85.234,48
2026-04-22 11:08:00-04:00,85.34,85.38,85.33,85.38,802.0,85.353,8
2026-04-22 11:09:00-04:00,85.4,85.42,85.36,85.42,1110.0,85.406,9
2026-04-22 11:10:00-04:00,85.47,85.53,85.47,85.52,1000.0,85.508,10
2026-04-22 11:11:00-04:00,85.5,85.58,85.49,85.54,1983.0,85.541,16
2026-04-22 11:12:00-04:00,85.53,85.55,85.51,85.54,800.0,85.53,8
2026-04-22 11:13:00-04:00,85.48,85.5,85.46,85.46,861.0,85.478,7
2026-04-22 11:14:00-04:00,85.45,85.5,85.44,85.5,2118.0,85.455,13
2026-04-22 11:15:00-04:00,85.5,85.5,85.48,85.48,355.0,85.489,2
2026-04-22 11:16:00-04:00,85.5,85.5,85.45,85.48,2429.0,85.474,17
2026-04-22 11:17:00-04:00,85.48,85.49,85.44,85.47,2598.0,85.456,14
2026-04-22 11:18:00-04:00,85.49,85.58,85.48,85.58,1709.0,85.509,14
2026-04-22 11:19:00-04:00,85.61,85.64,85.6,85.61,2076.0,85.61,13
2026-04-22 11:20:00-04:00,85.64,85.64,85.61,85.61,7607.0,85.622,34
2026-04-22 11:21:00-04:00,85.61,85.64,85.6,85.62,1523.0,85.621,11
2026-04-22 11:22:00-04:00,85.62,85.68,85.62,85.67,9276.0,85.647,64
2026-04-22 11:23:00-04:00,85.64,85.65,85.6,85.62,5749.0,85.631,28
2026-04-22 11:24:00-04:00,85.6,85.61,85.54,85.54,4193.0,85.583,31
2026-04-22 11:25:00-04:00,85.57,85.57,85.53,85.53,963.0,85.542,9
2026-04-22 11:26:00-04:00,85.53,85.53,85.45,85.5,2098.0,85.491,18
2026-04-22 11:27:00-04:00,85.49,85.5,85.43,85.44,2536.0,85.458,17
2026-04-22 11:28:00-04:00,85.45,85.49,85.42,85.49,1748.0,85.469,14
2026-04-22 11:29:00-04:00,85.49,85.52,85.48,85.5,3697.0,85.499,26
2026-04-22 11:30:00-04:00,85.51,85.52,85.45,85.45,1300.0,85.479,11
2026-04-22 11:31:00-04:00,85.45,85.48,85.41,85.43,2695.0,85.436,19
2026-04-22 11:32:00-04:00,85.42,85.43,85.42,85.42,884.0,85.421,5
2026-04-22 11:33:00-04:00,85.45,85.45,85.38,85.43,2729.0,85.404,24
2026-04-22 11:34:00-04:00,85.4,85.44,85.33,85.33,840.0,85.398,8
2026-04-22 11:35:00-04:00,85.41,85.45,85.41,85.44,1066.0,85.426,6
2026-04-22 11:36:00-04:00,85.41,85.42,85.37,85.38,1566.0,85.386,13
2026-04-22 11:37:00-04:00,85.4,85.4,85.38,85.39,518.0,85.389,4
2026-04-22 11:38:00-04:00,85.42,85.42,85.41,85.42,664.0,85.417,3
2026-04-22 11:39:00-04:00,85.42,85.45,85.41,85.44,630.0,85.425,6
2026-04-22 11:40:00-04:00,85.4,85.41,85.37,85.4,419.0,85.393,4
2026-04-22 11:41:00-04:00,85.45,85.48,85.43,85.47,2130.0,85.458,15
2026-04-22 11:42:00-04:00,85.47,85.47,85.46,85.47,400.0,85.465,4
2026-04-22 11:43:00-04:00,85.49,85.5,85.48,85.48,400.0,85.49,4
2026-04-22 11:44:00-04:00,85.5,85.57,85.5,85.56,1248.0,85.529,8
2026-04-22 11:45:00-04:00,85.53,85.53,85.53,85.53,100.0,85.53,1
2026-04-22 11:46:00-04:00,85.55,85.57,85.52,85.57,1427.0,85.546,13
2026-04-22 11:47:00-04:00,85.54,85.56,85.53,85.56,1000.0,85.542,7
2026-04-22 11:48:00-04:00,85.58,85.58,85.56,85.56,500.0,85.568,5
2026-04-22 11:49:00-04:00,85.54,85.54,85.5,85.52,7214.0,85.518,26
2026-04-22 11:50:00-04:00,85.5,85.5,85.44,85.45,1800.0,85.474,15
2026-04-22 11:51:00-04:00,85.43,85.45,85.43,85.44,600.0,85.437,6
2026-04-22 11:52:00-04:00,85.47,85.47,85.44,85.44,419.0,85.461,3
2026-04-22 11:53:00-04:00,85.46,85.46,85.46,85.46,100.0,85.46,1
2026-04-22 11:54:00-04:00,85.45,85.46,85.41,85.42,1185.0,85.422,7
2026-04-22 11:55:00-04:00,85.42,85.42,85.41,85.42,100.0,85.415,1
2026-04-22 11:56:00-04:00,85.45,85.45,85.45,85.45,200.0,85.45,2
2026-04-22 11:57:00-04:00,85.44,85.53,85.44,85.53,1107.0,85.478,9
2026-04-22 11:58:00-04:00,85.53,85.53,85.53,85.53,0.0,85.53,0
2026-04-22 11:59:00-04:00,85.56,85.57,85.52,85.55,1300.0,85.556,10
2026-04-22 12:00:00-04:00,85.59,85.6,85.58,85.58,2559.0,85.587,20
2026-04-22 12:01:00-04:00,85.55,85.6,85.54,85.56,1621.0,85.552,15
2026-04-22 12:02:00-04:00,85.57,85.57,85.55,85.55,1000.0,85.559,8
2026-04-22 12:03:00-04:00,85.57,85.57,85.57,85.57,4000.0,85.57,2
2026-04-22 12:04:00-04:00,85.61,85.61,85.58,85.58,200.0,85.595,2
2026-04-22 12:05:00-04:00,85.59,85.59,85.59,85.59,100.0,85.59,1
2026-04-22 12:06:00-04:00,85.6,85.63,85.6,85.63,900.0,85.618,9
2026-04-22 12:07:00-04:00,85.62,85.64,85.59,85.64,1824.0,85.619,11
