date,open,high,low,close,volume,average,barCount
2026-04-22 04:00:00-04:00,30.32,30.4,30.12,30.39,33272.0,30.283,112
2026-04-22 04:01:00-04:00,30.39,30.39,30.13,30.21,6914.0,30.278,36
2026-04-22 04:02:00-04:00,30.21,30.21,30.21,30.21,0.0,30.21,0
2026-04-22 04:03:00-04:00,30.21,30.21,30.21,30.21,0.0,30.21,0
2026-04-22 04:04:00-04:00,30.38,30.39,30.38,30.39,1800.0,30.382,7
2026-04-22 04:05:00-04:00,30.39,30.5,30.26,30.27,9307.0,30.444,35
2026-04-22 04:06:00-04:00,30.47,30.48,30.47,30.48,200.0,30.475,2
2026-04-22 04:07:00-04:00,30.48,30.48,30.48,30.48,0.0,30.48,0
2026-04-22 04:08:00-04:00,30.48,30.48,30.48,30.48,0.0,30.48,0
2026-04-22 04:09:00-04:00,30.43,30.5,30.43,30.5,200.0,30.465,2
2026-04-22 04:10:00-04:00,30.5,30.5,30.5,30.5,0.0,30.5,0
2026-04-22 04:11:00-04:00,30.47,30.49,30.47,30.49,1850.0,30.48,8
2026-04-22 04:12:00-04:00,30.49,30.5,30.49,30.5,6121.0,30.498,21
2026-04-22 04:13:00-04:00,30.5,30.5,30.5,30.5,0.0,30.5,0
2026-04-22 04:14:00-04:00,30.52,30.52,30.46,30.46,1292.0,30.512,3
2026-04-22 04:15:00-04:00,30.49,30.49,30.49,30.49,1000.0,30.49,3
2026-04-22 04:16:00-04:00,30.49,30.49,30.49,30.49,1600.0,30.49,1
2026-04-22 04:17:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:18:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:19:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:20:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:21:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:22:00-04:00,30.46,30.46,30.46,30.46,124.0,30.46,1
2026-04-22 04:23:00-04:00,30.46,30.46,30.46,30.46,0.0,30.46,0
2026-04-22 04:24:00-04:00,30.46,30.46,30.46,30.46,0.0,30.46,0
2026-04-22 04:25:00-04:00,30.47,30.47,30.47,30.47,405.0,30.47,2
2026-04-22 04:26:00-04:00,30.47,30.53,30.47,30.53,1762.0,30.49,6
2026-04-22 04:27:00-04:00,30.53,30.61,30.53,30.56,5977.0,30.58,26
2026-04-22 04:28:00-04:00,30.58,30.59,30.5,30.5,409.0,30.556,4
2026-04-22 04:29:00-04:00,30.5,30.5,30.49,30.49,328.0,30.496,3
2026-04-22 04:30:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:31:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:32:00-04:00,30.53,30.53,30.53,30.53,115.0,30.53,1
2026-04-22 04:33:00-04:00,30.46,30.46,30.45,30.45,500.0,30.452,2
2026-04-22 04:34:00-04:00,30.45,30.48,30.43,30.48,1746.0,30.456,7
2026-04-22 04:35:00-04:00,30.44,30.44,30.44,30.44,150.0,30.44,1
2026-04-22 04:36:00-04:00,30.42,30.43,30.42,30.42,200.0,30.424,1
2026-04-22 04:37:00-04:00,30.41,30.41,30.4,30.4,956.0,30.402,2
2026-04-22 04:38:00-04:00,30.4,30.4,30.4,30.4,0.0,30.4,0
2026-04-22 04:39:00-04:00,30.4,30.4,30.4,30.4,0.0,30.4,0
2026-04-22 04:40:00-04:00,30.4,30.4,30.4,30.4,1000.0,30.4,1
2026-04-22 04:41:00-04:00,30.4,30.4,30.4,30.4,0.0,30.4,0
2026-04-22 04:42:00-04:00,30.4,30.4,30.4,30.4,0.0,30.4,0
2026-04-22 04:43:00-04:00,30.4,30.4,30.39,30.4,173.0,30.395,1
2026-04-22 04:44:00-04:00,30.4,30.4,30.4,30.4,0.0,30.4,0
2026-04-22 04:45:00-04:00,30.4,30.4,30.4,30.4,300.0,30.4,2
2026-04-22 04:46:00-04:00,30.4,30.4,30.4,30.4,300.0,30.4,1
2026-04-22 04:47:00-04:00,30.4,30.4,30.4,30.4,0.0,30.4,0
2026-04-22 04:48:00-04:00,30.41,30.41,30.41,30.41,100.0,30.41,1
2026-04-22 04:49:00-04:00,30.45,30.49,30.45,30.49,416.0,30.478,2
2026-04-22 04:50:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:51:00-04:00,30.49,30.49,30.49,30.49,0.0,30.49,0
2026-04-22 04:52:00-04:00,30.43,30.43,30.43,30.43,110.0,30.43,1
2026-04-22 04:53:00-04:00,30.48,30.48,30.48,30.48,250.0,30.48,1
2026-04-22 04:54:00-04:00,30.37,30.37,30.33,30.33,3791.0,30.346,12
2026-04-22 04:55:00-04:00,30.39,30.42,30.3,30.31,513.0,30.38,4
2026-04-22 04:56:00-04:00,30.31,30.31,30.31,30.31,0.0,30.31,0
2026-04-22 04:57:00-04:00,30.31,30.31,30.31,30.31,0.0,30.31,0
2026-04-22 04:58:00-04:00,30.32,30.32,30.3,30.3,752.0,30.304,2
2026-04-22 04:59:00-04:00,30.3,30.3,30.3,30.3,0.0,30.3,0
2026-04-22 05:00:00-04:00,30.3,30.3,30.3,30.3,0.0,30.3,0
2026-04-22 05:01:00-04:00,30.35,30.35,30.35,30.35,1500.0,30.35,2
2026-04-22 05:02:00-04:00,30.35,30.35,30.35,30.35,0.0,30.35,0
2026-04-22 05:03:00-04:00,30.35,30.35,30.35,30.35,0.0,30.35,0
2026-04-22 05:04:00-04:00,30.35,30.35,30.35,30.35,0.0,30.35,0
2026-04-22 05:05:00-04:00,30.33,30.47,30.32,30.47,200.0,30.398,2
2026-04-22 05:06:00-04:00,30.46,30.47,30.46,30.47,424.0,30.465,2
2026-04-22 05:07:00-04:00,30.47,30.47,30.47,30.47,0.0,30.47,0
2026-04-22 05:08:00-04:00,30.46,30.46,30.46,30.46,294.0,30.46,2
2026-04-22 05:09:00-04:00,30.46,30.46,30.46,30.46,0.0,30.46,0
2026-04-22 05:10:00-04:00,30.46,30.46,30.46,30.46,0.0,30.46,0
2026-04-22 05:11:00-04:00,30.46,30.46,30.46,30.46,100.0,30.46,1
2026-04-22 05:12:00-04:00,30.46,30.46,30.46,30.46,0.0,30.46,0
2026-04-22 05:13:00-04:00,30.45,30.45,30.45,30.45,1954.0,30.45,1
2026-04-22 05:14:00-04:00,30.45,30.45,30.45,30.45,0.0,30.45,0
2026-04-22 05:15:00-04:00,30.45,30.45,30.45,30.45,0.0,30.45,0
2026-04-22 05:16:00-04:00,30.45,30.45,30.45,30.45,0.0,30.45,0
2026-04-22 05:17:00-04:00,30.43,30.45,30.43,30.45,861.0,30.445,7
2026-04-22 05:18:00-04:00,30.45,30.45,30.45,30.45,200.0,30.45,1
2026-04-22 05:19:00-04:00,30.46,30.47,30.46,30.47,658.0,30.467,4
2026-04-22 05:20:00-04:00,30.47,30.48,30.45,30.47,2362.0,30.457,7
2026-04-22 05:21:00-04:00,30.47,30.47,30.47,30.47,0.0,30.47,0
2026-04-22 05:22:00-04:00,30.47,30.47,30.47,30.47,0.0,30.47,0
