date,open,high,low,close,volume,average,barCount
2026-04-22 09:30:00-04:00,9.47,9.5,9.41,9.49,11248.0,9.46569,4
2026-04-22 09:31:00-04:00,9.49,9.49,9.49,9.49,0.0,9.49,0
2026-04-22 09:32:00-04:00,9.5,9.59,9.49,9.575,12705.0,9.54184,20
2026-04-22 09:33:00-04:00,9.64,9.64,9.575,9.575,210.0,9.60595,2
2026-04-22 09:34:00-04:00,9.63,9.63,9.63,9.63,141.0,9.63,1
2026-04-22 09:35:00-04:00,9.63,9.63,9.63,9.63,0.0,9.63,0
2026-04-22 09:36:00-04:00,9.63,9.6627,9.58,9.6627,906.0,9.63192,5
2026-04-22 09:37:00-04:00,9.62,9.63,9.58,9.58,867.0,9.62208,6
2026-04-22 09:38:00-04:00,9.5952,9.68,9.5952,9.61,4586.0,9.62239,16
2026-04-22 09:39:00-04:00,9.62,9.65,9.62,9.65,200.0,9.635,2
2026-04-22 09:40:00-04:00,9.625,9.625,9.6,9.625,2000.0,9.61508,13
2026-04-22 09:41:00-04:00,9.6,9.62,9.58,9.62,800.0,9.6,7
2026-04-22 09:42:00-04:00,9.6,9.6,9.5832,9.595,1339.0,9.59589,9
2026-04-22 09:43:00-04:00,9.58,9.58,9.56,9.58,1040.0,9.57288,8
2026-04-22 09:44:00-04:00,9.57,9.59,9.56,9.56,546.0,9.57403,5
2026-04-22 09:45:00-04:00,9.57,9.58,9.55,9.57,500.0,9.56426,5
2026-04-22 09:46:00-04:00,9.5608,9.58,9.5608,9.58,920.0,9.57791,8
2026-04-22 09:47:00-04:00,9.59,9.63,9.58,9.6225,20492.0,9.60018,53
2026-04-22 09:48:00-04:00,9.6225,9.6225,9.56,9.61,31457.0,9.5807,152
2026-04-22 09:49:00-04:00,9.61,9.61,9.6,9.6,1927.0,9.60623,16
2026-04-22 09:50:00-04:00,9.6,9.61,9.6,9.61,1400.0,9.60893,14
2026-04-22 09:51:00-04:00,9.61,9.62,9.61,9.62,698.0,9.61143,6
2026-04-22 09:52:00-04:00,9.63,9.65,9.63,9.65,2400.0,9.64083,20
