date,open,high,low,close,volume,average,barCount
2026-04-22 04:00:00-04:00,40.25,40.41,39.53,40.35,99061.0,40.172,186
2026-04-22 04:01:00-04:00,40.15,40.4,39.65,40.35,7765.0,40.134,22
2026-04-22 04:02:00-04:00,40.35,40.35,40.35,40.35,0.0,40.35,0
2026-04-22 04:03:00-04:00,40.35,40.35,40.35,40.35,0.0,40.35,0
2026-04-22 04:04:00-04:00,40.35,40.35,40.35,40.35,0.0,40.35,0
2026-04-22 04:05:00-04:00,40.03,40.23,40.03,40.23,2089.0,40.143,11
2026-04-22 04:06:00-04:00,40.33,40.34,40.33,40.33,400.0,40.334,1
2026-04-22 04:07:00-04:00,40.33,40.33,40.33,40.33,0.0,40.33,0
2026-04-22 04:08:00-04:00,40.33,40.33,40.33,40.33,0.0,40.33,0
2026-04-22 04:09:00-04:00,40.33,40.33,40.33,40.33,0.0,40.33,0
2026-04-22 04:10:00-04:00,40.48,40.48,40.48,40.48,389.0,40.48,2
2026-04-22 04:11:00-04:00,40.48,40.48,40.48,40.48,0.0,40.48,0
2026-04-22 04:12:00-04:00,40.5,40.54,40.5,40.54,1750.0,40.505,2
2026-04-22 04:13:00-04:00,40.55,40.55,40.55,40.55,275.0,40.55,2
2026-04-22 04:14:00-04:00,40.55,40.55,40.55,40.55,0.0,40.55,0
2026-04-22 04:15:00-04:00,40.7,40.7,40.7,40.7,100.0,40.7,1
2026-04-22 04:16:00-04:00,40.75,40.75,40.75,40.75,108.0,40.75,1
2026-04-22 04:17:00-04:00,40.75,40.75,40.75,40.75,0.0,40.75,0
2026-04-22 04:18:00-04:00,40.75,40.75,40.75,40.75,0.0,40.75,0
2026-04-22 04:19:00-04:00,40.75,40.75,40.75,40.75,0.0,40.75,0
2026-04-22 04:20:00-04:00,40.75,40.75,40.75,40.75,0.0,40.75,0
2026-04-22 04:21:00-04:00,40.75,40.75,40.75,40.75,0.0,40.75,0
2026-04-22 04:22:00-04:00,40.75,40.75,40.75,40.75,0.0,40.75,0
2026-04-22 04:23:00-04:00,40.88,40.96,40.88,40.96,200.0,40.92,2
2026-04-22 04:24:00-04:00,41.0,41.0,40.94,40.94,3722.0,40.993,7
2026-04-22 04:25:00-04:00,40.94,40.94,40.94,40.94,0.0,40.94,0
2026-04-22 04:26:00-04:00,40.96,40.98,40.96,40.98,300.0,40.973,2
2026-04-22 04:27:00-04:00,41.0,41.0,41.0,41.0,100.0,41.0,1
2026-04-22 04:28:00-04:00,40.96,40.96,40.96,40.96,200.0,40.96,2
2026-04-22 04:29:00-04:00,41.1,41.1,41.1,41.1,159.0,41.1,1
2026-04-22 04:30:00-04:00,41.1,41.1,41.1,41.1,0.0,41.1,0
