date,open,high,low,close,volume,average,barCount
2026-04-22 04:00:00-04:00,124.94,125.19,122.53,124.74,100312.0,124.115,351
2026-04-22 04:01:00-04:00,124.8,125.0,122.6,124.8,10686.0,124.318,40
2026-04-22 04:02:00-04:00,124.9,124.91,124.86,124.86,574.0,124.895,5
2026-04-22 04:03:00-04:00,124.81,124.81,124.81,124.81,100.0,124.81,1
2026-04-22 04:04:00-04:00,124.78,124.78,124.78,124.78,127.0,124.78,1
2026-04-22 04:05:00-04:00,124.76,124.76,123.54,124.75,2128.0,124.38,9
2026-04-22 04:06:00-04:00,124.75,124.75,124.75,124.75,0.0,124.75,0
2026-04-22 04:07:00-04:00,124.92,125.0,124.92,125.0,245.0,124.953,2
2026-04-22 04:08:00-04:00,125.07,125.08,125.06,125.06,1976.0,125.07,9
2026-04-22 04:09:00-04:00,125.1,125.1,125.1,125.1,1540.0,125.1,15
2026-04-22 04:10:00-04:00,125.1,125.1,125.07,125.1,9887.0,125.099,15
2026-04-22 04:11:00-04:00,125.18,125.18,125.18,125.18,710.0,125.18,5
2026-04-22 04:12:00-04:00,125.18,125.2,125.18,125.2,318.0,125.187,2
2026-04-22 04:13:00-04:00,125.33,125.33,125.33,125.33,100.0,125.33,1
2026-04-22 04:14:00-04:00,125.35,125.39,125.35,125.39,790.0,125.375,5
2026-04-22 04:15:00-04:00,125.42,125.74,125.42,125.74,4591.0,125.549,26
2026-04-22 04:16:00-04:00,125.8,125.99,125.8,125.8,1136.0,125.83,6
2026-04-22 04:17:00-04:00,125.8,125.8,125.8,125.8,0.0,125.8,0
2026-04-22 04:18:00-04:00,125.7,125.7,125.58,125.58,1393.0,125.648,6
2026-04-22 04:19:00-04:00,125.61,125.65,125.59,125.65,464.0,125.628,4
2026-04-22 04:20:00-04:00,125.65,125.65,125.65,125.65,0.0,125.65,0
2026-04-22 04:21:00-04:00,125.85,125.87,125.85,125.87,1883.0,125.854,5
2026-04-22 04:22:00-04:00,125.91,125.91,125.9,125.9,2953.0,125.901,10
2026-04-22 04:23:00-04:00,126.0,126.25,126.0,126.19,5183.0,126.186,26
2026-04-22 04:24:00-04:00,126.2,126.25,126.2,126.25,1113.0,126.225,8
2026-04-22 04:25:00-04:00,126.23,126.23,126.17,126.22,2976.0,126.202,18
2026-04-22 04:26:00-04:00,126.22,126.23,126.22,126.23,200.0,126.225,2
2026-04-22 04:27:00-04:00,126.4,126.41,126.26,126.31,2330.0,126.333,18
2026-04-22 04:28:00-04:00,126.45,126.54,126.4,126.54,6602.0,126.477,29
2026-04-22 04:29:00-04:00,126.54,126.6,126.54,126.6,400.0,126.585,4
2026-04-22 04:30:00-04:00,126.75,126.75,126.68,126.7,650.0,126.71,5
2026-04-22 04:31:00-04:00,126.62,126.75,126.62,126.75,1515.0,126.665,6
2026-04-22 04:32:00-04:00,126.63,126.9,126.63,126.87,1949.0,126.821,13
2026-04-22 04:33:00-04:00,127.0,127.22,127.0,127.22,1459.0,127.024,8
2026-04-22 04:34:00-04:00,127.32,127.47,127.31,127.41,1350.0,127.375,12
2026-04-22 04:35:00-04:00,127.41,127.41,127.3,127.37,2666.0,127.374,19
2026-04-22 04:36:00-04:00,127.36,127.6,127.35,127.6,2670.0,127.377,17
2026-04-22 04:37:00-04:00,127.59,127.63,127.5,127.51,2800.0,127.557,11
2026-04-22 04:38:00-04:00,127.51,127.62,127.51,127.62,1450.0,127.533,9
2026-04-22 04:39:00-04:00,127.56,127.6,127.51,127.6,1738.0,127.591,6
2026-04-22 04:40:00-04:00,127.62,127.62,127.59,127.59,857.0,127.613,7
2026-04-22 04:41:00-04:00,127.42,127.5,127.4,127.4,1571.0,127.478,14
2026-04-22 04:42:00-04:00,127.39,127.39,127.24,127.24,541.0,127.356,3
2026-04-22 04:43:00-04:00,127.22,127.35,127.21,127.35,1350.0,127.285,12
2026-04-22 04:44:00-04:00,127.0,127.06,127.0,127.05,3391.0,127.046,12
2026-04-22 04:45:00-04:00,127.0,127.12,127.0,127.12,1796.0,127.016,5
2026-04-22 04:46:00-04:00,127.12,127.12,127.12,127.12,0.0,127.12,0
2026-04-22 04:47:00-04:00,127.24,127.33,127.24,127.33,5254.0,127.27,27
2026-04-22 04:48:00-04:00,127.23,127.24,127.12,127.16,1092.0,127.134,9
2026-04-22 04:49:00-04:00,127.11,127.12,127.11,127.12,2050.0,127.111,2
2026-04-22 04:50:00-04:00,127.23,127.23,127.23,127.23,100.0,127.23,1
2026-04-22 04:51:00-04:00,127.12,127.12,127.03,127.03,300.0,127.067,3
2026-04-22 04:52:00-04:00,126.98,126.98,126.88,126.97,3147.0,126.905,17
2026-04-22 04:53:00-04:00,126.98,126.98,126.97,126.97,924.0,126.973,5
2026-04-22 04:54:00-04:00,127.05,127.05,126.97,126.97,950.0,127.042,8
2026-04-22 04:55:00-04:00,126.97,126.97,126.97,126.97,0.0,126.97,0
2026-04-22 04:56:00-04:00,126.89,126.89,126.89,126.89,300.0,126.89,1
2026-04-22 04:57:00-04:00,126.94,126.98,126.94,126.98,207.0,126.958,2
2026-04-22 04:58:00-04:00,126.98,126.98,126.98,126.98,123.0,126.98,1
2026-04-22 04:59:00-04:00,126.85,126.85,126.84,126.84,200.0,126.845,2
