date,open,high,low,close,volume,average,barCount
2026-04-22 09:30:00-04:00,157.85,157.85,157.58,157.77,6541.0,157.809,19
2026-04-22 09:31:00-04:00,157.84,158.11,157.75,157.91,700.0,157.914,7
2026-04-22 09:32:00-04:00,157.91,157.91,157.91,157.91,0.0,157.91,0
2026-04-22 09:33:00-04:00,158.28,158.68,158.28,158.68,1092.0,158.443,10
2026-04-22 09:34:00-04:00,158.65,158.65,158.28,158.38,924.0,158.442,8
2026-04-22 09:35:00-04:00,158.25,158.37,158.16,158.34,5560.0,158.282,26
2026-04-22 09:36:00-04:00,158.34,158.34,158.33,158.34,200.0,158.335,1
2026-04-22 09:37:00-04:00,158.34,158.56,158.33,158.5,1200.0,158.384,8
2026-04-22 09:38:00-04:00,158.55,158.66,158.55,158.66,1025.0,158.594,9
2026-04-22 09:39:00-04:00,158.66,158.67,158.45,158.67,800.0,158.584,5
2026-04-22 09:40:00-04:00,158.64,158.71,158.39,158.39,3398.0,158.534,26
2026-04-22 09:41:00-04:00,158.35,158.35,158.13,158.18,7347.0,158.258,46
2026-04-22 09:42:00-04:00,158.1,158.1,157.85,158.05,7706.0,157.961,58
2026-04-22 09:43:00-04:00,158.0,158.21,157.94,158.21,4697.0,158.027,28
2026-04-22 09:44:00-04:00,158.15,158.21,157.81,157.81,4312.0,158.088,16
2026-04-22 09:45:00-04:00,157.93,158.34,157.93,158.34,7023.0,158.14,59
2026-04-22 09:46:00-04:00,158.36,158.5,158.35,158.43,1334.0,158.421,12
2026-04-22 09:47:00-04:00,158.33,158.43,158.18,158.43,4225.0,158.263,36
2026-04-22 09:48:00-04:00,158.43,158.43,158.24,158.39,3539.0,158.373,22
2026-04-22 09:49:00-04:00,158.34,158.4,158.21,158.21,500.0,158.31,5
2026-04-22 09:50:00-04:00,158.27,158.34,158.02,158.34,3544.0,158.158,30
2026-04-22 09:51:00-04:00,158.32,158.32,158.19,158.19,725.0,158.273,7
2026-04-22 09:52:00-04:00,158.14,158.14,157.88,157.91,1270.0,158.022,10
2026-04-22 09:53:00-04:00,157.94,158.1,157.94,158.1,1957.0,158.003,10
2026-04-22 09:54:00-04:00,158.08,158.1,158.07,158.1,325.0,158.084,3
2026-04-22 09:55:00-04:00,158.19,158.33,158.19,158.33,3510.0,158.253,29
2026-04-22 09:56:00-04:00,158.5,158.59,158.46,158.54,1212.0,158.507,8
2026-04-22 09:57:00-04:00,158.62,158.62,158.61,158.62,100.0,158.615,1
2026-04-22 09:58:00-04:00,158.72,158.72,158.48,158.48,3796.0,158.602,31
2026-04-22 09:59:00-04:00,158.55,158.55,158.29,158.36,4356.0,158.392,40
2026-04-22 10:00:00-04:00,158.34,158.4,158.07,158.32,7515.0,158.199,52
2026-04-22 10:01:00-04:00,158.3,158.44,158.3,158.43,1996.0,158.384,18
2026-04-22 10:02:00-04:00,158.34,158.54,158.34,158.53,963.0,158.46,6
2026-04-22 10:03:00-04:00,158.52,158.59,158.31,158.31,2017.0,158.523,18
2026-04-22 10:04:00-04:00,158.24,158.29,158.14,158.28,1739.0,158.222,15
2026-04-22 10:05:00-04:00,158.28,158.43,158.27,158.43,2910.0,158.367,27
2026-04-22 10:06:00-04:00,158.39,158.4,158.35,158.36,1205.0,158.375,10
2026-04-22 10:07:00-04:00,158.37,158.58,158.37,158.58,6037.0,158.512,28
2026-04-22 10:08:00-04:00,158.59,158.78,158.58,158.74,4809.0,158.676,28
2026-04-22 10:09:00-04:00,158.67,158.71,158.4,158.41,10342.0,158.599,56
2026-04-22 10:10:00-04:00,158.39,158.4,158.14,158.14,4904.0,158.285,44
2026-04-22 10:11:00-04:00,158.14,158.22,158.08,158.22,4008.0,158.14,26
2026-04-22 10:12:00-04:00,158.22,158.33,158.21,158.27,3839.0,158.287,25
2026-04-22 10:13:00-04:00,158.27,158.28,158.21,158.21,903.0,158.245,9
2026-04-22 10:14:00-04:00,158.21,158.26,158.07,158.07,2297.0,158.162,19
2026-04-22 10:15:00-04:00,158.06,158.06,157.85,157.91,2521.0,157.912,19
2026-04-22 10:16:00-04:00,157.87,157.92,157.81,157.87,1129.0,157.856,9
2026-04-22 10:17:00-04:00,157.83,157.86,157.69,157.75,6764.0,157.782,48
2026-04-22 10:18:00-04:00,157.78,157.79,157.73,157.78,723.0,157.776,7
2026-04-22 10:19:00-04:00,157.71,157.87,157.71,157.81,1107.0,157.817,11
2026-04-22 10:20:00-04:00,157.75,157.76,157.66,157.72,2147.0,157.738,17
2026-04-22 10:21:00-04:00,157.74,157.79,157.72,157.78,1613.0,157.749,12
2026-04-22 10:22:00-04:00,157.71,157.88,157.71,157.81,56003.0,157.784,38
2026-04-22 10:23:00-04:00,157.76,157.99,157.6,157.81,5848.0,157.757,53
2026-04-22 10:24:00-04:00,157.97,157.97,157.7,157.81,2420.0,157.792,22
2026-04-22 10:25:00-04:00,157.95,158.0,157.85,157.87,2211.0,157.943,18
2026-04-22 10:26:00-04:00,157.84,157.84,157.71,157.71,746.0,157.783,7
2026-04-22 10:27:00-04:00,157.67,157.75,157.63,157.68,3401.0,157.701,26
2026-04-22 10:28:00-04:00,157.67,157.79,157.66,157.77,1023.0,157.736,10
2026-04-22 10:29:00-04:00,157.74,157.74,157.7,157.7,523.0,157.72,5
2026-04-22 10:30:00-04:00,157.68,157.77,157.63,157.72,1190.0,157.69,11
2026-04-22 10:31:00-04:00,157.72,157.72,157.63,157.68,1200.0,157.654,11
2026-04-22 10:32:00-04:00,157.68,157.75,157.67,157.67,1662.0,157.717,8
2026-04-22 10:33:00-04:00,157.73,157.73,157.61,157.62,928.0,157.658,8
2026-04-22 10:34:00-04:00,157.69,157.69,157.52,157.55,1100.0,157.584,10
2026-04-22 10:35:00-04:00,157.53,157.56,157.48,157.5,3601.0,157.524,21
2026-04-22 10:36:00-04:00,157.5,157.63,157.5,157.62,1200.0,157.606,11
2026-04-22 10:37:00-04:00,157.61,157.72,157.59,157.63,8423.0,157.64,49
2026-04-22 10:38:00-04:00,157.59,157.87,157.57,157.74,3935.0,157.72,34
2026-04-22 10:39:00-04:00,157.73,157.76,157.67,157.68,1100.0,157.697,11
2026-04-22 10:40:00-04:00,157.75,157.75,157.71,157.73,400.0,157.726,4
2026-04-22 10:41:00-04:00,157.69,157.69,157.69,157.69,100.0,157.69,1
2026-04-22 10:42:00-04:00,157.68,157.68,157.6,157.6,1400.0,157.651,11
2026-04-22 10:43:00-04:00,157.58,157.61,157.54,157.57,1706.0,157.587,17
2026-04-22 10:44:00-04:00,157.46,157.46,157.4,157.4,800.0,157.44,7
2026-04-22 10:45:00-04:00,157.37,157.37,157.26,157.26,400.0,157.34,4
2026-04-22 10:46:00-04:00,157.34,157.34,157.22,157.22,1200.0,157.269,8
2026-04-22 10:47:00-04:00,157.18,157.43,157.18,157.43,2426.0,157.327,22
2026-04-22 10:48:00-04:00,157.43,157.62,157.42,157.62,2036.0,157.483,15
2026-04-22 10:49:00-04:00,157.62,157.71,157.62,157.71,1400.0,157.65,12
2026-04-22 10:50:00-04:00,157.67,157.68,157.49,157.5,2526.0,157.607,18
