date,open,high,low,close,volume,average,barCount
2026-05-14 04:00:00-04:00,3.7082,3.78,3.65,3.69,4307.0,3.70267,12
2026-05-14 04:01:00-04:00,3.7026,3.7026,3.68,3.68,450.0,3.69256,2
2026-05-14 04:02:00-04:00,3.7093,3.71,3.69,3.71,2055.0,3.70605,4
2026-05-14 04:03:00-04:00,3.7,3.71,3.7,3.7,3355.0,3.70763,9
2026-05-14 04:04:00-04:00,3.72,3.7273,3.72,3.7273,697.0,3.72374,2
2026-05-14 04:05:00-04:00,3.7273,3.7273,3.7273,3.7273,0.0,3.7273,0
2026-05-14 04:06:00-04:00,3.7274,3.7274,3.7274,3.7274,463.0,3.7274,1
2026-05-14 04:07:00-04:00,3.7274,3.7274,3.7274,3.7274,0.0,3.7274,0
2026-05-14 04:08:00-04:00,3.7274,3.7274,3.7274,3.7274,0.0,3.7274,0
2026-05-14 04:09:00-04:00,3.71,3.71,3.71,3.71,200.0,3.71,1
2026-05-14 04:10:00-04:00,3.7,3.7,3.66,3.66,1882.0,3.68255,10
2026-05-14 04:11:00-04:00,3.66,3.66,3.66,3.66,0.0,3.66,0
2026-05-14 04:12:00-04:00,3.66,3.66,3.66,3.66,0.0,3.66,0
2026-05-14 04:13:00-04:00,3.69,3.69,3.69,3.69,500.0,3.69,1
2026-05-14 04:14:00-04:00,3.69,3.69,3.69,3.69,0.0,3.69,0
2026-05-14 04:15:00-04:00,3.69,3.69,3.69,3.69,0.0,3.69,0
2026-05-14 04:16:00-04:00,3.73,3.73,3.73,3.73,2650.0,3.73,4
2026-05-14 04:17:00-04:00,3.74,3.745,3.74,3.74,1585.0,3.74081,5
2026-05-14 04:18:00-04:00,3.75,3.75,3.74,3.74,2040.0,3.74461,2
2026-05-14 04:19:00-04:00,3.745,3.76,3.74,3.76,3759.0,3.75296,7
2026-05-14 04:20:00-04:00,3.745,3.75,3.745,3.75,600.0,3.74583,2
2026-05-14 04:21:00-04:00,3.77,3.77,3.77,3.77,2000.0,3.77,1
2026-05-14 04:22:00-04:00,3.745,3.745,3.745,3.745,500.0,3.745,1
2026-05-14 04:23:00-04:00,3.745,3.745,3.745,3.745,0.0,3.745,0
2026-05-14 04:24:00-04:00,3.745,3.745,3.745,3.745,0.0,3.745,0
2026-05-14 04:25:00-04:00,3.75,3.75,3.75,3.75,938.0,3.75,1
2026-05-14 04:26:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 04:27:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 04:28:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 04:29:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 04:30:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 04:31:00-04:00,3.77,3.77,3.77,3.77,300.0,3.77,1
2026-05-14 04:32:00-04:00,3.7885,3.7885,3.7885,3.7885,135.0,3.7885,1
2026-05-14 04:33:00-04:00,3.77,3.77,3.77,3.77,1900.0,3.77,4
2026-05-14 04:34:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:35:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:36:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:37:00-04:00,3.78,3.78,3.78,3.78,300.0,3.78,2
2026-05-14 04:38:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:39:00-04:00,3.78,3.78,3.78,3.78,596.0,3.78,1
2026-05-14 04:40:00-04:00,3.77,3.78,3.77,3.78,1350.0,3.77111,11
2026-05-14 04:41:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:42:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:43:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:44:00-04:00,3.77,3.79,3.77,3.79,3422.0,3.77679,4
2026-05-14 04:45:00-04:00,3.79,3.79,3.79,3.79,0.0,3.79,0
2026-05-14 04:46:00-04:00,3.77,3.77,3.77,3.77,100.0,3.77,1
2026-05-14 04:47:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:48:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:49:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:50:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:51:00-04:00,3.78,3.78,3.77,3.77,975.0,3.77308,3
2026-05-14 04:52:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:53:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 04:54:00-04:00,3.78,3.78,3.78,3.78,100.0,3.78,1
2026-05-14 04:55:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:56:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:57:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:58:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 04:59:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 05:00:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 05:01:00-04:00,3.78,3.78,3.78,3.78,0.0,3.78,0
2026-05-14 05:02:00-04:00,3.77,3.77,3.75,3.75,2159.0,3.76107,4
2026-05-14 05:03:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:04:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:05:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:06:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:07:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:08:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:09:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:10:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:11:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:12:00-04:00,3.75,3.75,3.75,3.75,0.0,3.75,0
2026-05-14 05:13:00-04:00,3.77,3.77,3.77,3.77,800.0,3.77,1
2026-05-14 05:14:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:15:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:16:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:17:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:18:00-04:00,3.75,3.75,3.74,3.74,2500.0,3.74078,2
2026-05-14 05:19:00-04:00,3.74,3.74,3.74,3.74,0.0,3.74,0
2026-05-14 05:20:00-04:00,3.74,3.74,3.74,3.74,0.0,3.74,0
2026-05-14 05:21:00-04:00,3.74,3.74,3.74,3.74,0.0,3.74,0
2026-05-14 05:22:00-04:00,3.77,3.77,3.77,3.77,1000.0,3.77,1
2026-05-14 05:23:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:24:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:25:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:26:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:27:00-04:00,3.77,3.77,3.77,3.77,0.0,3.77,0
2026-05-14 05:28:00-04:00,3.72,3.72,3.72,3.72,308.0,3.72,2
2026-05-14 05:29:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:30:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:31:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:32:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:33:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:34:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:35:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
2026-05-14 05:36:00-04:00,3.72,3.72,3.72,3.72,0.0,3.72,0
