date,open,high,low,close,volume,average,barCount
2026-05-14 04:00:00-04:00,5.4,5.43,5.36,5.37,2117.0,5.39376,13
2026-05-14 04:01:00-04:00,5.37,5.37,5.37,5.37,0.0,5.37,0
2026-05-14 04:02:00-04:00,5.37,5.37,5.37,5.37,0.0,5.37,0
2026-05-14 04:03:00-04:00,5.33,5.33,5.33,5.33,1396.0,5.33,1
2026-05-14 04:04:00-04:00,5.33,5.33,5.33,5.33,0.0,5.33,0
2026-05-14 04:05:00-04:00,5.5,5.5,5.5,5.5,2675.0,5.5,1
2026-05-14 04:06:00-04:00,5.5,5.5,5.5,5.5,0.0,5.5,0
2026-05-14 04:07:00-04:00,5.4,5.4,5.4,5.4,900.0,5.4,1
2026-05-14 04:08:00-04:00,5.4,5.4,5.4,5.4,0.0,5.4,0
2026-05-14 04:09:00-04:00,5.4,5.4,5.4,5.4,500.0,5.4,1
2026-05-14 04:10:00-04:00,5.4,5.4,5.4,5.4,0.0,5.4,0
2026-05-14 04:11:00-04:00,5.3929,5.3929,5.3929,5.3929,400.0,5.3929,1
2026-05-14 04:12:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:13:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:14:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:15:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:16:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:17:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:18:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:19:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:20:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:21:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:22:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:23:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:24:00-04:00,5.3929,5.3929,5.3929,5.3929,0.0,5.3929,0
2026-05-14 04:25:00-04:00,5.32,5.32,5.32,5.32,242.0,5.32,2
2026-05-14 04:26:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:27:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:28:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:29:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:30:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:31:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:32:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:33:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:34:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:35:00-04:00,5.32,5.32,5.32,5.32,0.0,5.32,0
2026-05-14 04:36:00-04:00,5.34,5.34,5.34,5.34,200.0,5.34,1
2026-05-14 04:37:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:38:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:39:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:40:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:41:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:42:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:43:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:44:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:45:00-04:00,5.34,5.34,5.34,5.34,0.0,5.34,0
2026-05-14 04:46:00-04:00,5.36,5.36,5.335,5.36,1200.0,5.35583,8
2026-05-14 04:47:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 04:48:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 04:49:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 04:50:00-04:00,5.32,5.32,5.3,5.3,1700.0,5.30235,8
2026-05-14 04:51:00-04:00,5.3,5.3,5.3,5.3,0.0,5.3,0
2026-05-14 04:52:00-04:00,5.3,5.3,5.3,5.3,0.0,5.3,0
2026-05-14 04:53:00-04:00,5.3,5.3,5.3,5.3,0.0,5.3,0
2026-05-14 04:54:00-04:00,5.3,5.3,5.3,5.3,0.0,5.3,0
2026-05-14 04:55:00-04:00,5.36,5.36,5.36,5.36,120.0,5.36,1
2026-05-14 04:56:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 04:57:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 04:58:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 04:59:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:00:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:01:00-04:00,5.36,5.36,5.36,5.36,195.0,5.36,1
2026-05-14 05:02:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:03:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:04:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:05:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:06:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:07:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:08:00-04:00,5.36,5.36,5.36,5.36,0.0,5.36,0
2026-05-14 05:09:00-04:00,5.3,5.3,5.28,5.28,1316.0,5.28152,4
2026-05-14 05:10:00-04:00,5.28,5.28,5.28,5.28,0.0,5.28,0
2026-05-14 05:11:00-04:00,5.2,5.2,5.2,5.2,222.0,5.2,1
2026-05-14 05:12:00-04:00,5.2,5.2,5.2,5.2,0.0,5.2,0
2026-05-14 05:13:00-04:00,5.2079,5.2079,5.2079,5.2079,160.0,5.2079,1
2026-05-14 05:14:00-04:00,5.2079,5.2079,5.2079,5.2079,0.0,5.2079,0
2026-05-14 05:15:00-04:00,5.2079,5.2079,5.2079,5.2079,0.0,5.2079,0
2026-05-14 05:16:00-04:00,5.2079,5.2079,5.2079,5.2079,0.0,5.2079,0
2026-05-14 05:17:00-04:00,5.2079,5.2079,5.2079,5.2079,0.0,5.2079,0
2026-05-14 05:18:00-04:00,5.22,5.23,5.22,5.23,800.0,5.22625,3
2026-05-14 05:19:00-04:00,5.23,5.23,5.23,5.23,0.0,5.23,0
2026-05-14 05:20:00-04:00,5.2107,5.2107,5.2107,5.2107,180.0,5.2107,1
2026-05-14 05:21:00-04:00,5.2107,5.2107,5.2107,5.2107,0.0,5.2107,0
2026-05-14 05:22:00-04:00,5.2107,5.2107,5.2107,5.2107,0.0,5.2107,0
2026-05-14 05:23:00-04:00,5.2107,5.2107,5.2107,5.2107,0.0,5.2107,0
2026-05-14 05:24:00-04:00,5.2107,5.2107,5.2107,5.2107,0.0,5.2107,0
2026-05-14 05:25:00-04:00,5.2107,5.2107,5.2107,5.2107,0.0,5.2107,0
