date,open,high,low,close,volume,average,barCount
2026-05-14 04:00:00-04:00,8.13,8.17,8.04,8.08,11729.0,8.11371,34
2026-05-14 04:01:00-04:00,8.08,8.08,8.08,8.08,0.0,8.08,0
2026-05-14 04:02:00-04:00,8.08,8.16,8.08,8.08,7987.0,8.12039,36
2026-05-14 04:03:00-04:00,8.09,8.09,8.09,8.09,100.0,8.09,1
2026-05-14 04:04:00-04:00,8.09,8.09,8.09,8.09,0.0,8.09,0
2026-05-14 04:05:00-04:00,8.09,8.09,8.09,8.09,0.0,8.09,0
2026-05-14 04:06:00-04:00,8.09,8.09,8.09,8.09,0.0,8.09,0
2026-05-14 04:07:00-04:00,8.12,8.12,8.12,8.12,106.0,8.12,1
2026-05-14 04:08:00-04:00,8.08,8.08,8.08,8.08,203.0,8.08,2
2026-05-14 04:09:00-04:00,8.08,8.08,8.08,8.08,0.0,8.08,0
2026-05-14 04:10:00-04:00,8.08,8.08,8.08,8.08,0.0,8.08,0
2026-05-14 04:11:00-04:00,8.065,8.065,8.065,8.065,360.0,8.065,1
2026-05-14 04:12:00-04:00,8.065,8.065,8.065,8.065,0.0,8.065,0
2026-05-14 04:13:00-04:00,8.065,8.065,8.065,8.065,0.0,8.065,0
2026-05-14 04:14:00-04:00,8.07,8.07,8.07,8.07,1591.0,8.07,1
2026-05-14 04:15:00-04:00,8.07,8.07,8.07,8.07,0.0,8.07,0
2026-05-14 04:16:00-04:00,8.0716,8.0716,8.0716,8.0716,183.0,8.0716,1
2026-05-14 04:17:00-04:00,8.0716,8.0716,8.0716,8.0716,0.0,8.0716,0
2026-05-14 04:18:00-04:00,8.0716,8.0716,8.0716,8.0716,0.0,8.0716,0
2026-05-14 04:19:00-04:00,8.0716,8.0716,8.0716,8.0716,0.0,8.0716,0
2026-05-14 04:20:00-04:00,8.0811,8.0811,8.0811,8.0811,100.0,8.0811,1
2026-05-14 04:21:00-04:00,8.0811,8.0811,8.0811,8.0811,0.0,8.0811,0
2026-05-14 04:22:00-04:00,8.0811,8.0811,8.0811,8.0811,0.0,8.0811,0
2026-05-14 04:23:00-04:00,8.0811,8.0811,8.0811,8.0811,0.0,8.0811,0
2026-05-14 04:24:00-04:00,8.0811,8.0811,8.0811,8.0811,0.0,8.0811,0
2026-05-14 04:25:00-04:00,8.0811,8.0811,8.0811,8.0811,0.0,8.0811,0
2026-05-14 04:26:00-04:00,8.0816,8.0816,8.0816,8.0816,186.0,8.0816,1
2026-05-14 04:27:00-04:00,8.0816,8.0816,8.0816,8.0816,0.0,8.0816,0
2026-05-14 04:28:00-04:00,8.0916,8.0916,8.0916,8.0916,118.0,8.0916,1
2026-05-14 04:29:00-04:00,8.0916,8.0916,8.0916,8.0916,0.0,8.0916,0
2026-05-14 04:30:00-04:00,8.0916,8.0916,8.0916,8.0916,300.0,8.0916,1
2026-05-14 04:31:00-04:00,8.15,8.16,8.14,8.16,2106.0,8.1501,5
2026-05-14 04:32:00-04:00,8.16,8.16,8.16,8.16,0.0,8.16,0
