date,open,high,low,close,volume,average,barCount
2026-05-14 04:00:00-04:00,8.28,8.46,8.18,8.25,1951551.0,8.28,1422
2026-05-14 04:01:00-04:00,8.25,8.46,8.18,8.27,1336227.0,8.317,1058
2026-05-14 04:02:00-04:00,8.27,8.46,8.18,8.2,3934999.0,8.302,4115
2026-05-14 04:03:00-04:00,8.2,8.32,8.2,8.32,124498.0,8.279,219
2026-05-14 04:04:00-04:00,8.32,8.34,8.32,8.34,65508.0,8.329,121
2026-05-14 04:05:00-04:00,8.34,8.35,8.32,8.33,70313.0,8.339,142
2026-05-14 04:06:00-04:00,8.32,8.45,8.18,8.2,447349.0,8.315,250
2026-05-14 04:07:00-04:00,8.21,8.45,8.19,8.29,274014.0,8.3,171
2026-05-14 04:08:00-04:00,8.29,8.3,8.28,8.28,36602.0,8.291,65
2026-05-14 04:09:00-04:00,8.28,8.29,8.27,8.29,88963.0,8.276,115
2026-05-14 04:10:00-04:00,8.3,8.3,8.28,8.28,132688.0,8.292,87
2026-05-14 04:11:00-04:00,8.28,8.28,8.26,8.27,50035.0,8.269,60
2026-05-14 04:12:00-04:00,8.26,8.28,8.26,8.28,18408.0,8.27,44
2026-05-14 04:13:00-04:00,8.28,8.29,8.27,8.28,6929.0,8.28,20
2026-05-14 04:14:00-04:00,8.27,8.28,8.25,8.25,42340.0,8.261,74
2026-05-14 04:15:00-04:00,8.25,8.26,8.23,8.23,27072.0,8.238,38
2026-05-14 04:16:00-04:00,8.23,8.23,8.22,8.22,62194.0,8.223,102
2026-05-14 04:17:00-04:00,8.22,8.24,8.22,8.24,79414.0,8.23,101
2026-05-14 04:18:00-04:00,8.23,8.26,8.23,8.25,14648.0,8.244,46
2026-05-14 04:19:00-04:00,8.25,8.27,8.25,8.27,9995.0,8.261,14
2026-05-14 04:20:00-04:00,8.27,8.27,8.25,8.25,23967.0,8.258,54
2026-05-14 04:21:00-04:00,8.24,8.25,8.24,8.25,11548.0,8.25,30
2026-05-14 04:22:00-04:00,8.26,8.27,8.25,8.26,81792.0,8.26,101
2026-05-14 04:23:00-04:00,8.26,8.28,8.25,8.28,39565.0,8.272,86
2026-05-14 04:24:00-04:00,8.28,8.3,8.28,8.29,110260.0,8.293,130
2026-05-14 04:25:00-04:00,8.3,8.3,8.28,8.28,93505.0,8.287,97
2026-05-14 04:26:00-04:00,8.28,8.28,8.27,8.28,22582.0,8.28,16
2026-05-14 04:27:00-04:00,8.28,8.3,8.28,8.3,74841.0,8.298,121
2026-05-14 04:28:00-04:00,8.29,8.3,8.28,8.28,29178.0,8.295,57
2026-05-14 04:29:00-04:00,8.28,8.28,8.25,8.27,26026.0,8.263,53
2026-05-14 04:30:00-04:00,8.27,8.28,8.24,8.24,32894.0,8.257,78
2026-05-14 04:31:00-04:00,8.25,8.27,8.25,8.27,33997.0,8.254,48
2026-05-14 04:32:00-04:00,8.27,8.29,8.27,8.28,10946.0,8.277,28
2026-05-14 04:33:00-04:00,8.28,8.3,8.27,8.3,12814.0,8.283,45
2026-05-14 04:34:00-04:00,8.3,8.3,8.28,8.28,66884.0,8.283,33
2026-05-14 04:35:00-04:00,8.28,8.28,8.26,8.26,19891.0,8.271,35
2026-05-14 04:36:00-04:00,8.26,8.28,8.26,8.27,7200.0,8.268,16
2026-05-14 04:37:00-04:00,8.28,8.29,8.27,8.29,23204.0,8.287,62
2026-05-14 04:38:00-04:00,8.29,8.31,8.29,8.31,15615.0,8.3,38
2026-05-14 04:39:00-04:00,8.31,8.32,8.31,8.31,30916.0,8.317,35
2026-05-14 04:40:00-04:00,8.32,8.32,8.31,8.31,26903.0,8.319,58
2026-05-14 04:41:00-04:00,8.31,8.34,8.31,8.34,20397.0,8.32,57
2026-05-14 04:42:00-04:00,8.35,8.35,8.34,8.34,22183.0,8.348,21
2026-05-14 04:43:00-04:00,8.34,8.36,8.34,8.36,39010.0,8.35,82
2026-05-14 04:44:00-04:00,8.36,8.37,8.35,8.36,81188.0,8.367,93
2026-05-14 04:45:00-04:00,8.37,8.38,8.35,8.37,277364.0,8.366,149
