date,open,high,low,close,volume,average,barCount
2026-05-14 09:30:00-04:00,15.16,15.39,15.16,15.37,17115.0,15.238,23
2026-05-14 09:31:00-04:00,15.29,15.35,15.21,15.21,2000.0,15.277,14
2026-05-14 09:32:00-04:00,15.29,15.3,15.21,15.29,949.0,15.268,9
2026-05-14 09:33:00-04:00,15.23,15.32,15.23,15.3,971.0,15.262,8
2026-05-14 09:34:00-04:00,15.29,15.29,15.25,15.29,900.0,15.276,8
2026-05-14 09:35:00-04:00,15.25,15.29,15.25,15.26,800.0,15.269,8
2026-05-14 09:36:00-04:00,15.27,15.32,15.26,15.28,3800.0,15.289,30
2026-05-14 09:37:00-04:00,15.29,15.36,15.27,15.33,15399.0,15.327,55
2026-05-14 09:38:00-04:00,15.34,15.4,15.34,15.36,3981.0,15.359,28
2026-05-14 09:39:00-04:00,15.4,15.4,15.37,15.39,1024.0,15.381,7
2026-05-14 09:40:00-04:00,15.38,15.4,15.38,15.39,5834.0,15.391,33
2026-05-14 09:41:00-04:00,15.38,15.38,15.37,15.38,2054.0,15.379,17
2026-05-14 09:42:00-04:00,15.39,15.41,15.39,15.39,14834.0,15.398,93
2026-05-14 09:43:00-04:00,15.39,15.39,15.31,15.32,6943.0,15.343,28
2026-05-14 09:44:00-04:00,15.3,15.3,15.26,15.26,3632.0,15.268,15
2026-05-14 09:45:00-04:00,15.26,15.26,15.25,15.26,3382.0,15.256,17
2026-05-14 09:46:00-04:00,15.25,15.26,15.25,15.26,400.0,15.258,3
2026-05-14 09:47:00-04:00,15.26,15.27,15.26,15.27,900.0,15.266,4
2026-05-14 09:48:00-04:00,15.28,15.28,15.26,15.26,610.0,15.27,5
2026-05-14 09:49:00-04:00,15.27,15.28,15.26,15.26,3917.0,15.274,5
2026-05-14 09:50:00-04:00,15.26,15.26,15.26,15.26,0.0,15.26,0
2026-05-14 09:51:00-04:00,15.29,15.29,15.29,15.29,1624.0,15.29,13
2026-05-14 09:52:00-04:00,15.29,15.32,15.29,15.32,300.0,15.308,3
2026-05-14 09:53:00-04:00,15.32,15.33,15.32,15.32,200.0,15.323,2
2026-05-14 09:54:00-04:00,15.35,15.37,15.35,15.37,200.0,15.363,2
2026-05-14 09:55:00-04:00,15.36,15.4,15.36,15.4,1100.0,15.393,4
2026-05-14 09:56:00-04:00,15.4,15.43,15.4,15.42,4885.0,15.402,38
2026-05-14 09:57:00-04:00,15.43,15.43,15.39,15.39,1710.0,15.411,9
2026-05-14 09:58:00-04:00,15.37,15.37,15.36,15.37,1122.0,15.369,5
2026-05-14 09:59:00-04:00,15.36,15.38,15.36,15.36,800.0,15.368,7
2026-05-14 10:00:00-04:00,15.37,15.4,15.37,15.4,2900.0,15.371,6
2026-05-14 10:01:00-04:00,15.39,15.39,15.38,15.38,400.0,15.388,3
2026-05-14 10:02:00-04:00,15.38,15.39,15.38,15.38,137.0,15.385,1
2026-05-14 10:03:00-04:00,15.38,15.39,15.38,15.38,100.0,15.385,1
2026-05-14 10:04:00-04:00,15.36,15.36,15.36,15.36,200.0,15.36,1
2026-05-14 10:05:00-04:00,15.36,15.38,15.36,15.38,637.0,15.372,2
2026-05-14 10:06:00-04:00,15.35,15.35,15.34,15.34,3526.0,15.347,12
2026-05-14 10:07:00-04:00,15.34,15.34,15.34,15.34,0.0,15.34,0
2026-05-14 10:08:00-04:00,15.36,15.36,15.36,15.36,100.0,15.36,1
2026-05-14 10:09:00-04:00,15.36,15.37,15.33,15.33,700.0,15.346,7
2026-05-14 10:10:00-04:00,15.31,15.32,15.31,15.31,400.0,15.313,3
2026-05-14 10:11:00-04:00,15.31,15.32,15.31,15.31,100.0,15.315,1
2026-05-14 10:12:00-04:00,15.3,15.31,15.3,15.3,1298.0,15.3,3
2026-05-14 10:13:00-04:00,15.31,15.31,15.31,15.31,578.0,15.31,3
2026-05-14 10:14:00-04:00,15.31,15.31,15.3,15.3,1213.0,15.301,2
