date,open,high,low,close,volume,average,barCount
2026-04-15 04:00:00-04:00,16.64,16.78,16.64,16.76,4112.0,16.696,18
2026-04-15 04:01:00-04:00,16.77,17.02,16.07,16.61,86406.0,16.546,352
2026-04-15 04:02:00-04:00,16.61,16.75,16.61,16.75,863.0,16.695,3
2026-04-15 04:03:00-04:00,16.7,16.73,16.65,16.71,5147.0,16.698,13
2026-04-15 04:04:00-04:00,16.8,16.86,16.8,16.85,611.0,16.819,6
2026-04-15 04:05:00-04:00,16.86,16.86,16.75,16.78,1070.0,16.809,8
2026-04-15 04:06:00-04:00,16.38,16.76,16.29,16.75,3440.0,16.541,17
2026-04-15 04:07:00-04:00,16.86,16.87,16.86,16.86,3247.0,16.86,9
2026-04-15 04:08:00-04:00,16.91,16.91,16.91,16.91,442.0,16.91,3
2026-04-15 04:09:00-04:00,17.0,17.0,16.99,16.99,5927.0,16.999,7
2026-04-15 04:10:00-04:00,17.0,17.0,16.83,16.83,4361.0,16.904,16
2026-04-15 04:11:00-04:00,16.97,16.97,16.87,16.94,775.0,16.91,4
2026-04-15 04:12:00-04:00,16.98,17.05,16.92,16.97,4713.0,16.994,21
2026-04-15 04:13:00-04:00,17.04,17.16,17.04,17.15,1042.0,17.116,7
2026-04-15 04:14:00-04:00,17.21,17.31,17.21,17.3,6768.0,17.259,20
2026-04-15 04:15:00-04:00,17.27,17.27,17.15,17.21,2606.0,17.233,9
2026-04-15 04:16:00-04:00,17.15,17.21,17.11,17.11,769.0,17.161,4
2026-04-15 04:17:00-04:00,17.2,17.2,17.07,17.09,2170.0,17.117,16
2026-04-15 04:18:00-04:00,17.08,17.12,17.08,17.12,1770.0,17.098,11
2026-04-15 04:19:00-04:00,17.11,17.19,17.11,17.19,1432.0,17.13,6
2026-04-15 04:20:00-04:00,17.18,17.21,17.15,17.17,1853.0,17.182,7
2026-04-15 04:21:00-04:00,17.2,17.22,17.17,17.2,11529.0,17.203,28
2026-04-15 04:22:00-04:00,17.25,17.34,17.23,17.34,3616.0,17.276,10
2026-04-15 04:23:00-04:00,17.48,17.56,17.48,17.56,1274.0,17.549,5
2026-04-15 04:24:00-04:00,17.55,17.62,17.55,17.59,5892.0,17.58,30
2026-04-15 04:25:00-04:00,17.63,18.0,17.63,18.0,8120.0,17.859,43
2026-04-15 04:26:00-04:00,18.11,18.23,18.0,18.09,13355.0,18.095,51
2026-04-15 04:27:00-04:00,18.04,18.08,17.82,17.98,34938.0,17.906,105
2026-04-15 04:28:00-04:00,17.98,18.05,17.91,18.05,5706.0,17.989,17
2026-04-15 04:29:00-04:00,17.98,18.01,17.85,17.85,7439.0,17.969,30
2026-04-15 04:30:00-04:00,17.75,17.86,17.74,17.86,2994.0,17.766,19
2026-04-15 04:31:00-04:00,17.85,17.85,17.74,17.81,1455.0,17.784,8
2026-04-15 04:32:00-04:00,17.81,17.85,17.77,17.84,1077.0,17.83,7
2026-04-15 04:33:00-04:00,17.93,17.95,17.9,17.95,5716.0,17.926,17
2026-04-15 04:34:00-04:00,17.96,17.99,17.89,17.89,7529.0,17.939,33
2026-04-15 04:35:00-04:00,17.87,17.9,17.77,17.84,11086.0,17.851,51
2026-04-15 04:36:00-04:00,17.9,17.98,17.9,17.91,3639.0,17.915,8
2026-04-15 04:37:00-04:00,17.97,17.97,17.83,17.84,506.0,17.871,4
2026-04-15 04:38:00-04:00,17.91,18.03,17.9,18.03,5728.0,17.925,16
2026-04-15 04:39:00-04:00,18.0,18.08,18.0,18.08,4712.0,18.053,22
2026-04-15 04:40:00-04:00,18.1,18.1,18.0,18.0,2718.0,18.05,15
2026-04-15 04:41:00-04:00,18.17,18.3,18.17,18.3,2015.0,18.209,9
2026-04-15 04:42:00-04:00,18.39,18.62,18.39,18.62,4718.0,18.527,29
2026-04-15 04:43:00-04:00,18.61,18.61,18.45,18.45,9301.0,18.545,31
2026-04-15 04:44:00-04:00,18.38,18.4,18.32,18.4,3294.0,18.374,18
2026-04-15 04:45:00-04:00,18.41,18.5,18.39,18.41,2476.0,18.413,12
2026-04-15 04:46:00-04:00,18.49,18.67,18.49,18.5,3837.0,18.576,16
2026-04-15 04:47:00-04:00,18.52,18.53,18.39,18.39,8491.0,18.476,30
2026-04-15 04:48:00-04:00,18.41,18.44,18.36,18.36,3551.0,18.4,20
2026-04-15 04:49:00-04:00,18.36,18.52,18.36,18.52,1639.0,18.457,13
2026-04-15 04:50:00-04:00,18.46,18.47,18.15,18.2,7534.0,18.221,42
2026-04-15 04:51:00-04:00,18.23,18.24,18.17,18.19,5616.0,18.192,22
2026-04-15 04:52:00-04:00,18.06,18.06,17.97,18.0,4458.0,17.996,19
2026-04-15 04:53:00-04:00,18.01,18.11,18.01,18.11,1216.0,18.045,6
2026-04-15 04:54:00-04:00,18.07,18.1,18.07,18.07,1436.0,18.081,10
2026-04-15 04:55:00-04:00,18.02,18.17,18.02,18.17,597.0,18.117,5
2026-04-15 04:56:00-04:00,18.18,18.34,18.18,18.27,2539.0,18.283,12
2026-04-15 04:57:00-04:00,18.29,18.31,18.25,18.25,1188.0,18.273,7
2026-04-15 04:58:00-04:00,18.18,18.18,18.08,18.15,1092.0,18.142,7
2026-04-15 04:59:00-04:00,18.09,18.09,17.94,17.95,7054.0,18.005,18
2026-04-15 05:00:00-04:00,17.92,17.92,17.84,17.84,4498.0,17.881,26
2026-04-15 05:01:00-04:00,17.84,17.89,17.83,17.89,1080.0,17.873,7
2026-04-15 05:02:00-04:00,17.89,17.96,17.85,17.85,5599.0,17.895,25
2026-04-15 05:03:00-04:00,17.89,17.91,17.89,17.91,608.0,17.906,4
2026-04-15 05:04:00-04:00,17.96,18.01,17.96,17.97,991.0,17.971,9
2026-04-15 05:05:00-04:00,17.95,17.97,17.91,17.91,875.0,17.95,3
2026-04-15 05:06:00-04:00,17.92,17.92,17.83,17.83,639.0,17.87,3
2026-04-15 05:07:00-04:00,17.9,17.9,17.9,17.9,558.0,17.9,1
2026-04-15 05:08:00-04:00,17.91,18.01,17.9,18.0,1690.0,17.963,7
2026-04-15 05:09:00-04:00,18.0,18.01,18.0,18.01,1054.0,18.007,6
2026-04-15 05:10:00-04:00,18.01,18.01,18.01,18.01,0.0,18.01,0
2026-04-15 05:11:00-04:00,17.93,17.93,17.93,17.93,224.0,17.93,2
2026-04-15 05:12:00-04:00,17.92,17.92,17.84,17.9,3977.0,17.902,16
2026-04-15 05:13:00-04:00,17.86,17.86,17.8,17.81,6454.0,17.845,22
2026-04-15 05:14:00-04:00,17.8,17.8,17.65,17.65,6894.0,17.717,25
2026-04-15 05:15:00-04:00,17.68,17.74,17.67,17.71,4327.0,17.704,25
2026-04-15 05:16:00-04:00,17.82,17.93,17.81,17.82,1858.0,17.836,8
2026-04-15 05:17:00-04:00,17.82,17.82,17.79,17.82,1042.0,17.814,7
2026-04-15 05:18:00-04:00,17.86,17.86,17.86,17.86,117.0,17.86,1
2026-04-15 05:19:00-04:00,17.83,17.97,17.83,17.97,736.0,17.928,4
2026-04-15 05:20:00-04:00,17.94,17.95,17.88,17.92,2918.0,17.907,17
2026-04-15 05:21:00-04:00,17.9,17.93,17.9,17.93,332.0,17.912,3
2026-04-15 05:22:00-04:00,17.89,17.89,17.89,17.89,1900.0,17.89,19
2026-04-15 05:23:00-04:00,17.89,17.89,17.87,17.87,1300.0,17.885,11
2026-04-15 05:24:00-04:00,17.87,17.88,17.87,17.87,562.0,17.873,4
2026-04-15 05:25:00-04:00,17.87,17.87,17.84,17.84,755.0,17.854,3
2026-04-15 05:26:00-04:00,17.87,17.87,17.85,17.85,1692.0,17.865,4
2026-04-15 05:27:00-04:00,17.85,17.87,17.82,17.82,3062.0,17.849,14
2026-04-15 05:28:00-04:00,17.85,17.85,17.74,17.74,774.0,17.814,5
2026-04-15 05:29:00-04:00,17.79,17.8,17.79,17.79,6061.0,17.79,14
2026-04-15 05:30:00-04:00,17.82,17.85,17.8,17.83,1335.0,17.827,8
