date,open,high,low,close,volume,average,barCount
2026-04-15 04:00:00-04:00,26.03,26.05,26.02,26.05,400.0,26.03,3
2026-04-15 04:01:00-04:00,26.01,26.14,25.9,26.01,89774.0,26.029,378
2026-04-15 04:02:00-04:00,26.01,26.01,26.01,26.01,0.0,26.01,0
2026-04-15 04:03:00-04:00,26.01,26.01,26.01,26.01,0.0,26.01,0
2026-04-15 04:04:00-04:00,26.1,26.1,26.1,26.1,2980.0,26.1,6
2026-04-15 04:05:00-04:00,26.1,26.12,26.1,26.12,2001.0,26.109,7
2026-04-15 04:06:00-04:00,26.13,26.14,26.12,26.14,3082.0,26.127,11
2026-04-15 04:07:00-04:00,26.13,26.13,26.13,26.13,2967.0,26.13,9
2026-04-15 04:08:00-04:00,26.14,26.14,26.14,26.14,190.0,26.14,1
2026-04-15 04:09:00-04:00,26.16,26.16,26.16,26.16,714.0,26.16,3
2026-04-15 04:10:00-04:00,26.15,26.15,25.91,25.95,338.0,25.999,3
2026-04-15 04:11:00-04:00,26.16,26.16,26.16,26.16,765.0,26.16,2
2026-04-15 04:12:00-04:00,26.16,26.2,26.16,26.2,655.0,26.18,3
2026-04-15 04:13:00-04:00,26.19,26.2,26.18,26.2,13580.0,26.187,34
2026-04-15 04:14:00-04:00,26.2,26.2,26.2,26.2,200.0,26.2,2
2026-04-15 04:15:00-04:00,26.19,26.19,26.17,26.18,626.0,26.179,5
2026-04-15 04:16:00-04:00,26.17,26.18,26.15,26.18,3228.0,26.17,16
2026-04-15 04:17:00-04:00,26.16,26.16,26.16,26.16,108.0,26.16,1
2026-04-15 04:18:00-04:00,26.15,26.18,26.15,26.17,1463.0,26.16,10
2026-04-15 04:19:00-04:00,26.15,26.15,26.15,26.15,292.0,26.15,1
2026-04-15 04:20:00-04:00,26.14,26.14,26.14,26.14,777.0,26.14,1
2026-04-15 04:21:00-04:00,26.14,26.14,26.14,26.14,940.0,26.14,7
2026-04-15 04:22:00-04:00,26.15,26.15,26.15,26.15,100.0,26.15,1
2026-04-15 04:23:00-04:00,26.17,26.17,26.16,26.16,200.0,26.165,2
2026-04-15 04:24:00-04:00,26.16,26.16,26.16,26.16,200.0,26.16,1
2026-04-15 04:25:00-04:00,26.16,26.16,26.16,26.16,0.0,26.16,0
2026-04-15 04:26:00-04:00,26.15,26.15,26.15,26.15,1000.0,26.15,3
2026-04-15 04:27:00-04:00,26.17,26.17,26.17,26.17,342.0,26.17,2
2026-04-15 04:28:00-04:00,26.16,26.16,26.16,26.16,217.0,26.16,1
2026-04-15 04:29:00-04:00,26.18,26.18,26.18,26.18,1427.0,26.18,3
2026-04-15 04:30:00-04:00,26.2,26.2,26.18,26.2,3097.0,26.197,11
2026-04-15 04:31:00-04:00,26.2,26.2,26.2,26.2,500.0,26.2,3
2026-04-15 04:32:00-04:00,26.2,26.22,26.19,26.22,6766.0,26.2,16
2026-04-15 04:33:00-04:00,26.21,26.21,26.21,26.21,473.0,26.21,3
2026-04-15 04:34:00-04:00,26.22,26.23,26.22,26.23,280.0,26.224,2
2026-04-15 04:35:00-04:00,26.23,26.24,26.23,26.24,1773.0,26.233,9
2026-04-15 04:36:00-04:00,26.24,26.24,26.23,26.24,1408.0,26.235,8
2026-04-15 04:37:00-04:00,26.22,26.22,26.21,26.22,1614.0,26.219,4
2026-04-15 04:38:00-04:00,26.22,26.24,26.22,26.24,340.0,26.228,3
2026-04-15 04:39:00-04:00,26.23,26.25,26.23,26.25,1692.0,26.241,5
2026-04-15 04:40:00-04:00,26.25,26.26,26.25,26.26,1115.0,26.259,6
2026-04-15 04:41:00-04:00,26.28,26.29,26.26,26.26,2328.0,26.274,7
2026-04-15 04:42:00-04:00,26.27,26.29,26.27,26.29,314.0,26.283,2
2026-04-15 04:43:00-04:00,26.3,26.31,26.28,26.28,3017.0,26.299,7
2026-04-15 04:44:00-04:00,26.27,26.27,26.25,26.25,275.0,26.261,2
2026-04-15 04:45:00-04:00,26.27,26.27,26.22,26.22,527.0,26.25,2
2026-04-15 04:46:00-04:00,26.23,26.23,26.23,26.23,2896.0,26.23,8
2026-04-15 04:47:00-04:00,26.27,26.27,26.26,26.26,243.0,26.263,2
2026-04-15 04:48:00-04:00,26.27,26.27,26.27,26.27,114.0,26.27,1
2026-04-15 04:49:00-04:00,26.27,26.27,26.27,26.27,0.0,26.27,0
2026-04-15 04:50:00-04:00,26.25,26.26,26.23,26.23,1051.0,26.237,8
2026-04-15 04:51:00-04:00,26.23,26.23,26.23,26.23,130.0,26.23,1
2026-04-15 04:52:00-04:00,26.21,26.23,26.21,26.23,647.0,26.222,3
2026-04-15 04:53:00-04:00,26.21,26.23,26.21,26.22,3331.0,26.212,11
2026-04-15 04:54:00-04:00,26.22,26.23,26.21,26.23,2861.0,26.226,10
2026-04-15 04:55:00-04:00,26.23,26.23,26.23,26.23,0.0,26.23,0
2026-04-15 04:56:00-04:00,26.25,26.25,26.24,26.24,910.0,26.242,3
