date,open,high,low,close,volume,average,barCount
2026-04-15 04:00:00-04:00,37.74,38.17,37.3,37.74,32159.0,37.708,183
2026-04-15 04:01:00-04:00,37.72,38.16,37.33,38.16,10278.0,37.671,56
2026-04-15 04:02:00-04:00,37.89,37.89,37.89,37.89,500.0,37.89,1
2026-04-15 04:03:00-04:00,37.89,37.89,37.89,37.89,0.0,37.89,0
2026-04-15 04:04:00-04:00,37.89,37.89,37.89,37.89,0.0,37.89,0
2026-04-15 04:05:00-04:00,37.89,37.89,37.89,37.89,0.0,37.89,0
2026-04-15 04:06:00-04:00,37.89,37.89,37.89,37.89,0.0,37.89,0
2026-04-15 04:07:00-04:00,37.89,37.89,37.89,37.89,0.0,37.89,0
2026-04-15 04:08:00-04:00,37.98,37.98,37.98,37.98,100.0,37.98,1
2026-04-15 04:09:00-04:00,37.86,37.93,37.41,37.9,1072.0,37.832,6
2026-04-15 04:10:00-04:00,37.9,37.9,37.9,37.9,0.0,37.9,0
2026-04-15 04:11:00-04:00,37.9,37.9,37.9,37.9,0.0,37.9,0
2026-04-15 04:12:00-04:00,37.87,37.94,37.87,37.93,274.0,37.91,2
2026-04-15 04:13:00-04:00,37.93,37.93,37.93,37.93,0.0,37.93,0
2026-04-15 04:14:00-04:00,37.93,37.93,37.93,37.93,0.0,37.93,0
2026-04-15 04:15:00-04:00,37.93,37.93,37.93,37.93,0.0,37.93,0
2026-04-15 04:16:00-04:00,37.85,37.85,37.84,37.84,387.0,37.847,3
2026-04-15 04:17:00-04:00,37.84,37.84,37.83,37.83,1555.0,37.839,5
2026-04-15 04:18:00-04:00,37.81,37.81,37.8,37.8,280.0,37.806,2
2026-04-15 04:19:00-04:00,37.8,37.8,37.8,37.8,0.0,37.8,0
2026-04-15 04:20:00-04:00,37.84,37.84,37.82,37.82,383.0,37.834,2
2026-04-15 04:21:00-04:00,37.81,37.81,37.79,37.79,475.0,37.805,3
2026-04-15 04:22:00-04:00,37.83,37.83,37.83,37.83,374.0,37.83,2
2026-04-15 04:23:00-04:00,37.83,37.83,37.83,37.83,0.0,37.83,0
2026-04-15 04:24:00-04:00,37.83,37.83,37.83,37.83,0.0,37.83,0
2026-04-15 04:25:00-04:00,37.82,37.83,37.8,37.8,1030.0,37.812,8
2026-04-15 04:26:00-04:00,37.82,37.82,37.82,37.82,124.0,37.82,1
2026-04-15 04:27:00-04:00,37.84,37.86,37.84,37.86,218.0,37.849,2
2026-04-15 04:28:00-04:00,37.86,37.86,37.86,37.86,125.0,37.86,1
2026-04-15 04:29:00-04:00,37.9,37.9,37.9,37.9,127.0,37.9,1
2026-04-15 04:30:00-04:00,37.88,37.93,37.88,37.93,448.0,37.912,3
